t,x,y,theta,phi,sr_j,Psx,Psy,d,Cs,Cs1,Cs2,Cs3,d_ave,x_d1,x_d2,x_d3,nu1,nu2,torque_fl,torque_fr,torque_rl,torque_rr,Q_phi
0.02,-6.49603,-1.05909,-0.00625688,0.0675296,8,-6.49696,-1,-0.0590828,0.0166347,0.00467897,0.00194134,0.00103624,0.0545414,0.00067454,-0.00210158,-0.00147186,0.994126,80.9082,16.1257,16.1694,16.1257,16.1694,8.18548
0.03,-6.49603,-1.05909,-0.00625793,0.0675326,8,-6.49696,-1,-0.0590847,0.0166347,0.00467897,0.00194134,0.00103624,0.0560558,0.000741623,-0.00196536,-0.00131399,0.993464,80.9117,16.115,16.1587,16.115,16.1587,8.18584
0.04,-6.49596,-1.05911,-0.00627515,0.0685776,8,-6.49696,-1,-0.059101,0.0166347,0.00467897,0.00194134,0.00103624,0.0568171,0.00967432,-0.00176666,-0.00211984,0.904087,72.1783,14.6649,14.7053,14.6649,14.7053,7.30228
0.05,-6.4958,-1.05913,-0.00629639,0.0696981,9,-6.49658,-1,-0.0591178,0.0166365,0.00467971,0.00194173,0.00103649,0.0572772,0.0185631,-0.00179208,-0.00219953,0.815202,72.4356,13.2229,13.2599,13.2229,13.2599,7.32831
0.06,-6.49556,-1.05914,-0.00631705,0.0709222,9,-6.49658,-1,-0.0591351,0.0166365,0.00467971,0.00194173,0.00103649,0.0575869,0.0270529,-0.00186137,-0.00211646,0.730286,70.1709,11.8454,11.8791,11.8454,11.8791,7.09919
0.07,-6.49524,-1.05916,-0.0062814,0.129523,10,-6.4962,-1,-0.0591534,0.0166383,0.00468045,0.00194212,0.00103674,0.0578107,0.0342084,-0.00195425,-0.00196406,0.658721,59.4792,10.6734,10.7291,10.6729,10.7286,6.01751
0.08,-6.49485,-1.05918,-0.00635384,0.0737014,11,-6.49582,-1,-0.0591726,0.01664,0.00468118,0.00194252,0.00103699,0.0579809,0.0408958,-0.00203838,-0.00178631,0.591849,69.9624,9.59996,9.62835,9.59993,9.62833,7.07809
0.09,-6.4944,-1.0592,-0.0063698,0.0752168,12,-6.49544,-1,-0.0591923,0.0166418,0.00468192,0.00194291,0.00103724,0.0581155,0.0466231,-0.00206741,-0.00164814,0.53454,64.9879,8.67104,8.69722,8.67059,8.69676,6.57482
0.1,-6.4939,-1.05922,-0.00638412,0.0771549,14,-6.49468,-1,-0.0592124,0.0166454,0.0046834,0.0019437,0.00103774,0.0582252,0.0519571,-0.0021203,-0.00145041,0.481178,62.246,7.80631,7.83049,7.8054,7.82957,6.29743
0.11,-6.49335,-1.05924,-0.00639626,0.0791626,15,-6.4943,-1,-0.0592332,0.0166472,0.00468414,0.0019441,0.00103799,0.0583168,0.0564389,-0.00218052,-0.00121414,0.436351,61.2234,7.08003,7.10254,7.07874,7.10124,6.19397
0.12,-6.49275,-1.05926,-0.00635252,0.136997,17,-6.49354,-1,-0.0592544,0.0166507,0.00468561,0.00194489,0.0010385,0.058395,0.0606346,-0.0022248,-0.00100011,0.394385,50.3544,6.39493,6.43029,6.39244,6.42778,5.09435
0.13,-6.49212,-1.05929,-0.0064138,0.0830671,18,-6.49316,-1,-0.0592763,0.0166525,0.00468635,0.00194528,0.00103875,0.0584628,0.06408,-0.00229073,-0.000751477,0.359956,63.3897,5.84176,5.86125,5.8404,5.85989,6.41313
0.14,-6.49146,-1.05931,-0.0064191,0.0850388,20,-6.4924,-1,-0.0592985,0.0166561,0.00468783,0.00194608,0.00103925,0.0585225,0.0673968,-0.00229036,-0.000558967,0.326753,58.4625,5.30568,5.3238,5.30269,5.3208,5.91466
0.15,-6.49076,-1.05933,-0.00642197,0.0873757,22,-6.49164,-0.999999,-0.0593209,0.0166596,0.00468931,0.00194687,0.00103975,0.0585757,0.070111,-0.00233518,-0.000267315,0.299595,56.3509,4.86716,4.88424,4.86305,4.88012,5.70102
0.16,-6.49005,-1.05935,-0.006422,0.089732,24,-6.49089,-0.999999,-0.0593437,0.0166632,0.00469079,0.00194766,0.00104026,0.0586237,0.0727448,-0.00237652,2.15202e-05,0.273253,55.8377,4.44144,4.45745,4.43657,4.45256,5.6491
0.17,-6.4893,-1.05938,-0.00641906,0.0920982,26,-6.49013,-0.999999,-0.059367,0.0166667,0.00469226,0.00194845,0.00104076,0.0586674,0.0748938,-0.00241169,0.000321504,0.251759,55.0931,4.09449,4.10965,4.08875,4.10389,5.57377
0.18,-6.48854,-1.0594,-0.00641319,0.0944991,28,-6.48937,-0.999999,-0.0593906,0.0166703,0.00469374,0.00194924,0.00104126,0.0587076,0.0769935,-0.00244,0.000612804,0.230757,54.2969,3.75574,3.77001,3.74897,3.76321,5.49322
0.19,-6.48776,-1.05942,-0.00640428,0.096929,30,-6.48861,-0.999999,-0.0594145,0.0166739,0.00469522,0.00195003,0.00104177,0.0587448,0.0786776,-0.00247064,0.000922358,0.213912,53.5483,3.48442,3.498,3.47664,3.49019,5.41748
0.2,-6.48696,-1.05945,-0.00639234,0.0993782,32,-6.48785,-0.999999,-0.0594387,0.0166774,0.0046967,0.00195083,0.00104227,0.0587795,0.0803129,-0.0024971,0.00122544,0.197557,52.8984,3.2211,3.23397,3.21225,3.22508,5.35173
