t,x,y,theta,phiR,phiF,thetap,sr_j,Psx,Psy,d,Cs,Cs1,Cs2,Cs3,d_ave,x_d1,x_d2,x_d3,nu1,nu2,nu3,torque_fl,torque_fr,torque_rl,torque_rr,lamda1,lambda2,lambda3,lambda4,Q_phiR, Q_varphiR, Q_phiF, Q_varphiF
0.02,-6.55102,-1.00029,-0.000122989,0.000453796,0.0126329,-0.000866813,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.324925,-0.000607309,-0.000114966,10.4985,1.11359,38.6788,0,0,0,0,1.08461,0.0787203,-937.473,-937.473,0.235637,156.054,8.1845,156.054
0.03,-6.55133,-1.00029,-0.000146073,0.000765915,0.0218581,-0.000867088,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.31902,-0.000474961,-0.000267103,10.3804,0.929559,32.0837,0,0,0,0,-11.553,-0.702929,-925.351,-925.351,0.196696,154.057,6.78896,154.057
0.04,-6.55427,-1.0003,-0.000117398,0.000421211,0.0125935,-0.000862919,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.279635,-0.00103734,0.000990899,9.59269,2.01164,39.484,0,0,0,0,0.939514,-0.291365,-844.495,-844.495,0.425667,140.739,8.35486,140.739
0.05,-6.5567,-1.00031,-0.000105748,0.000425836,0.0124775,-0.000851448,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.230073,-0.00109507,0.00104669,8.60146,1.2757,40.1176,0,0,0,0,0.820954,0.0635536,-742.749,-742.749,0.269941,123.98,8.48895,123.98
0.06,-6.55863,-1.00032,-0.000103585,0.000420035,0.012438,-0.000847558,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.180927,-0.000644499,1.77893e-05,7.61854,1.36072,41.0045,0,0,0,0,0.702762,0.0552803,-641.855,-641.855,0.287931,107.362,8.67661,107.362
0.07,-6.5601,-1.00032,-0.000117475,0.000423684,0.0125488,-0.000858549,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.135767,0.000117383,-0.00172296,6.71534,1.44081,42.346,0,0,0,0,0.613577,0.0512494,-549.145,-549.145,0.304878,92.0917,8.96047,92.0917
0.08,-6.56113,-1.00032,-0.000127629,0.000426929,0.0126701,-0.000870576,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.0925957,-0.000410225,-0.000599993,5.85191,1.52949,43.6871,0,0,0,0,0.53327,0.0467272,-460.518,-460.518,0.323642,77.4938,9.24426,77.4938
0.09,-6.56178,-1.00033,-0.000129189,0.000427146,0.0126949,-0.000872962,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.0561675,-0.000643922,-0.000103062,5.12335,1.59488,44.5336,0,0,0,0,0.463438,0.0438057,-385.733,-385.733,0.337479,65.176,9.42338,65.176
0.1,-6.56207,-1.00034,-0.000131585,0.000427554,0.0127182,-0.000875088,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.0204772,-0.00056234,-0.000262286,4.40954,1.65496,45.3611,0,0,0,0,0.397471,0.0420554,-312.464,-312.464,0.350191,53.1077,9.59847,53.1077
0.11,-6.56205,-1.00034,-0.000132761,0.000427691,0.012734,-0.000876647,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.00899516,-0.000655038,-3.17028e-05,3.8201,1.70861,46.033,0,0,0,0,0.347098,0.0400268,-251.959,-251.959,0.361545,43.1419,9.74065,43.1419
