t,x,y,theta,phiR,phiF,thetap,sr_j,Psx,Psy,d,Cs,Cs1,Cs2,Cs3,d_ave,x_d1,x_d2,x_d3,nu1,nu2,nu3torque_fl,torque_fr,torque_rl,torque_rr,lamda1,lambda2,lambda3,lambda4,Q_phiR, Q_varphiR, Q_phiF, Q_varphiF
0.02,-6.44827,-0.999916,5.03481e-06,-3.19714e-05,0.00303315,-0.000738963,176,-6.44998,-0.999981,6.76335e-05,0.0149779,0.00412457,0.0017577,0,0.000524541,9.39678e-05,-0.00131049,1.0712e-05,2.39887,-0.0355721,4.35265,18.5296,18.5296,18.5296,18.5296,0.159776,0.0111365,-231.286,-231.286,-0.00687447,37.0592,0.841169,37.0592
0.03,-6.44661,-0.999918,-6.23471e-07,-4.93833e-05,0.00575233,-0.000764448,182,-6.44828,-0.99998,6.41837e-05,0.0149849,0.00412756,0.00175941,0,0.000371088,9.39678e-05,-0.00131049,1.0712e-05,2.39887,-0.0250381,3.91594,18.5296,18.5296,18.5296,18.5296,-0.502835,-0.0251092,-231.286,-231.286,-0.00483871,37.0592,0.756772,37.0592
0.04,-6.44816,-0.999931,-2.64507e-06,-0.00109546,0.0022003,-0.000744412,176,-6.44998,-0.999981,5.53135e-05,0.0149779,0.00412457,0.0017577,0,0.000292145,0.0170489,-0.000945899,-0.000896573,2.19547,5.45319,8.72355,16.9587,16.9583,16.9587,16.9583,0.560114,0.195905,-211.676,-211.676,1.05385,33.917,1.68586,33.917
0.05,-6.44785,-0.999949,-1.65648e-05,-0.00459013,-0.0005189,-0.00076052,177,-6.4497,-0.999981,4.42894e-05,0.0149791,0.00412506,0.00175799,0,0.000242574,0.0353274,-0.00100849,-0.00101735,1.97649,11.5101,13.4289,15.2676,15.266,15.2677,15.2661,1.91167,0.713496,-190.561,-190.56,2.22437,30.5338,2.5952,30.5337
0.06,-6.44737,-0.99997,-3.15318e-05,-0.0085699,-0.00345764,-0.00078177,179,-6.44913,-0.999981,3.11407e-05,0.0149814,0.00412606,0.00175855,0,0.000207335,0.0518266,-0.00126598,-0.00100989,1.77891,12.6393,13.9391,13.7418,13.7387,13.742,13.7389,2.89448,0.874468,-171.508,-171.506,2.44259,27.4809,2.69379,27.4806
0.07,-6.44675,-0.999993,-4.44178e-05,-0.0119651,-0.00575672,-0.000801324,181,-6.44857,-0.99998,1.4245e-05,0.0149837,0.00412706,0.00175912,0,0.000179751,0.0653693,-0.00167792,-0.000756034,1.61657,11.5427,12.6194,12.4881,12.4836,12.4883,12.4838,3.14568,0.609149,-155.85,-155.847,2.23068,24.9721,2.43876,24.9716
0.08,-6.446,-1.00002,-5.42509e-05,-0.0144885,-0.00720151,-0.000822191,184,-6.44772,-0.99998,-7.12965e-06,0.0149872,0.00412855,0.00175998,0,0.000158173,0.0775269,-0.0021245,-0.000480133,1.47059,9.76544,10.7944,11.3607,11.3551,11.3609,11.3553,2.86552,0.163339,-141.771,-141.769,1.88721,22.7162,2.08606,22.7159
0.09,-6.44515,-1.00005,-6.05605e-05,-0.0161944,-0.0078735,-0.000839741,187,-6.44687,-0.999979,-3.28197e-05,0.0149908,0.00413005,0.00176083,0,0.000144245,0.087308,-0.00253251,-0.000132926,1.35301,8.06978,9.06548,10.4528,10.4463,10.4528,10.4463,2.3116,-0.327337,-130.43,-130.43,1.55952,20.8991,1.75194,20.8991
0.1,-6.44421,-1.00008,-6.34666e-05,-0.0172263,-0.00793816,-0.000853996,190,-6.44602,-0.999978,-6.23185e-05,0.0149943,0.00413155,0.00176168,0,0.000136052,0.0961848,-0.00289177,0.000170032,1.24624,6.66347,7.86187,9.62842,9.62128,9.62826,9.62116,1.73921,-0.732927,-120.134,-120.137,1.28774,19.2494,1.51934,19.2497
0.11,-6.4432,-1.00011,-6.22122e-05,-0.0177235,-0.00782265,-0.000864891,193,-6.44517,-0.999978,-9.50263e-05,0.0149978,0.00413304,0.00176254,0,0.000132323,0.102994,-0.00316604,0.000402189,1.16429,5.50949,7.80101,8.99591,8.98847,8.99552,8.98814,1.51419,-1.09743,-112.235,-112.24,1.06473,17.9837,1.50758,17.9844
0.12,-6.44212,-1.00015,-5.82081e-05,-0.0177916,-0.00768073,-0.000877881,197,-6.44404,-0.999977,-0.000130015,0.0150025,0.00413504,0.00176368,0,0.00013213,0.10934,-0.00335944,0.000487193,1.08794,4.58623,7.99964,8.40655,8.39932,8.40595,8.39877,1.38032,-1.40258,-104.877,-104.885,0.886309,16.8047,1.54596,16.8059
0.13,-6.44099,-1.00018,-5.24281e-05,-0.0177451,-0.00753033,-0.000889198,201,-6.4429,-0.999976,-0.000166697,0.0150071,0.00413704,0.00176482,0,0.000134789,0.114109,-0.00350241,0.000658996,1.03069,4.72746,8.10594,7.9642,7.95727,7.96363,7.95675,1.27031,-1.32687,-99.3582,-99.3655,0.913601,15.9204,1.56651,15.9215
0.14,-6.43981,-1.00022,-4.60156e-05,-0.0176764,-0.00728886,-0.000899527,205,-6.44177,-0.999975,-0.000204628,0.0150118,0.00413904,0.00176596,0,0.000139778,0.118748,-0.0036044,0.000733852,0.974995,4.79294,7.89703,7.53384,7.52716,7.53328,7.52665,1.02868,-1.28383,-93.9881,-93.9953,0.926256,15.0599,1.52614,15.061
0.15,-6.4386,-1.00026,-3.87643e-05,-0.0175751,-0.00684317,-0.000913046,210,-6.44035,-0.999974,-0.000243543,0.0150177,0.00414154,0.00176739,0,0.000146695,0.121966,-0.00369263,0.00092006,0.936357,4.87935,7.39934,7.23527,7.22859,7.23472,7.2281,0.682629,-1.23832,-90.2615,-90.2687,0.942955,14.4628,1.42995,14.4639
0.16,-6.43735,-1.0003,-3.07285e-05,-0.0174745,-0.00619075,-0.000921025,214,-6.43922,-0.999973,-0.000283326,0.0150224,0.00414354,0.00176853,0,0.000155235,0.125313,-0.00376847,0.00107966,0.896188,4.99959,6.83886,6.92492,6.91809,6.92441,6.91763,0.303296,-1.1607,-86.3872,-86.394,0.966191,13.842,1.32164,13.843
0.17,-6.43608,-1.00034,-2.12267e-05,-0.0173715,-0.00536206,-0.000927321,218,-6.43809,-0.999972,-0.000323846,0.0150271,0.00414554,0.00176968,0,0.000165153,0.127501,-0.00383259,0.00131547,0.869927,5.10922,6.33449,6.72216,6.71493,6.72167,6.71452,-0.0272496,-1.08627,-83.8542,-83.8608,0.987379,13.4362,1.22417,13.4371
0.18,-6.43479,-1.00038,-1.02853e-05,-0.0172547,-0.00439235,-0.000936116,223,-6.43668,-0.99997,-0.000364977,0.0150329,0.00414805,0.00177111,0,0.000176254,0.129973,-0.00388097,0.00148838,0.840238,5.16092,5.947,6.493,6.48535,6.49254,6.48497,-0.319949,-1.02528,-80.9916,-80.9979,0.997369,12.9775,1.14928,12.9783
0.19,-6.43348,-1.00042,2.62634e-06,-0.0170593,-0.00333172,-0.000943038,228,-6.43526,-0.999969,-0.000406528,0.0150388,0.00415055,0.00177254,0,0.000188374,0.131447,-0.00391074,0.00169758,0.822501,4.99473,5.62177,6.35639,6.34819,6.35588,6.34778,-0.562146,-1.06242,-79.2825,-79.2895,0.965252,12.7037,1.08643,12.7046
0.2,-6.43215,-1.00046,1.73098e-05,-0.0167481,-0.00221104,-0.000943947,232,-6.43413,-0.999968,-0.00044829,0.0150435,0.00415256,0.00177369,0,0.00020137,0.133275,-0.00391761,0.00184072,0.800507,4.75212,5.33713,6.18692,6.1783,6.18633,6.17781,-0.786411,-1.12012,-77.1637,-77.1717,0.918367,12.3641,1.03142,12.3652
0.21,-6.43081,-1.0005,3.40066e-05,-0.0163311,-0.00103486,-0.000947298,237,-6.43272,-0.999966,-0.000490048,0.0150494,0.00415507,0.00177512,0,0.000215116,0.134241,-0.00390501,0.00202954,0.788865,4.51356,5.09039,6.09745,6.08835,6.09679,6.08781,-0.971247,-1.16855,-76.0433,-76.0521,0.872265,12.1846,0.98374,12.1858
