t,x,y,theta,phiR,phiF,thetap,sr_j,Psx,Psy,d,Cs,Cs1,Cs2,Cs3,d_ave,x_d1,x_d2,x_d3,nu1,nu2,nu3torque_fl,torque_fr,torque_rl,torque_rr,lamda1,lambda2,lambda3,lambda4,Q_phiR, Q_varphiR, Q_phiF, Q_varphiF
0.02,-6.4483,-1.00033,6.98621e-06,0.000755311,0.00386189,-0.000736907,176,-6.44998,-0.999981,-0.000344383,0.0149779,0.00412457,0.0017577,0,0.000181467,5.88675e-05,-0.000456428,5.01813e-06,2.39931,1.18544,5.5589,21.1453,21.1451,21.1453,21.1451,0.187167,0.00846319,-265.475,-265.475,0.229157,42.2904,1.07459,42.2904
0.03,-6.4483,-1.00033,1.35174e-06,0.00147809,0.00726171,-0.000736908,176,-6.44998,-0.999981,-0.000344992,0.0149779,0.00412457,0.0017577,0,0.000235975,7.68476e-05,-0.000608626,-7.75747e-07,2.3991,1.04082,4.89599,21.1434,21.1432,21.1434,21.1432,-0.582579,-0.0279741,-265.451,-265.451,0.201201,42.2866,0.946444,42.2866
0.04,-6.44821,-1.00034,7.68585e-06,0.000173326,0.00340118,-0.000736082,176,-6.44998,-0.999981,-0.00035091,0.0149779,0.00412457,0.0017577,0,0.000264709,0.0156157,-0.000709167,0.000159451,2.21265,3.97299,7.82048,19.5003,19.5,19.5003,19.5,0.409775,0.0903848,-244.821,-244.821,0.76802,39.0003,1.51178,39.0003
0.05,-6.44794,-1.00035,7.33835e-06,-0.00159773,0.0019926,-0.00073979,177,-6.4497,-0.999981,-0.000357573,0.0149791,0.00412506,0.00175799,0,0.000283282,0.031024,-0.000784321,0.000163704,2.02785,7.30383,10.4996,17.872,17.871,17.872,17.871,1.17161,0.334933,-224.374,-224.374,1.4119,35.743,2.02968,35.743
0.06,-6.44749,-1.00036,5.59107e-06,-0.00405587,9.84811e-05,-0.000748573,179,-6.44913,-0.999981,-0.000366024,0.0149814,0.00412606,0.00175855,0,0.000297072,0.0459193,-0.000718954,4.95736e-05,1.84932,9.54515,12.1923,16.2989,16.2969,16.299,16.297,2.08565,0.62634,-204.618,-204.618,1.84518,32.5959,2.35689,32.5958
0.07,-6.447,-1.00037,4.18803e-06,-0.00681621,-0.00196779,-0.000753,180,-6.44885,-0.999981,-0.000374912,0.0149826,0.00412656,0.00175884,0,0.000308192,0.0575512,-0.00114784,0.000230496,1.70996,10.8142,12.9979,15.071,15.0679,15.0711,15.068,2.82593,0.758405,-189.196,-189.194,2.0905,30.1392,2.51262,30.1389
0.08,-6.44634,-1.00039,2.76891e-06,-0.00959791,-0.00394247,-0.000765531,183,-6.448,-0.99998,-0.000387275,0.0149861,0.00412805,0.00175969,0,0.000318078,0.0690136,-0.00142205,0.000276927,1.57264,11.4169,13.2508,13.8609,13.8567,13.8611,13.8569,3.34075,0.817363,-173.998,-173.995,2.207,27.7181,2.56151,27.7176
0.09,-6.44559,-1.00041,2.27525e-06,-0.0122217,-0.00570334,-0.000772951,185,-6.44743,-0.999979,-0.000402888,0.0149884,0.00412905,0.00176026,0,0.000327501,0.0782406,-0.00177267,0.00043083,1.46207,11.5136,13.0394,12.8866,12.8813,12.8869,12.8816,3.56244,0.704327,-161.759,-161.756,2.2257,25.7685,2.52065,25.7679
0.1,-6.44474,-1.00043,2.76769e-06,-0.0145725,-0.00714397,-0.000783446,188,-6.44658,-0.999979,-0.000422022,0.0149919,0.00413055,0.00176112,0,0.000336953,0.0873873,-0.00210358,0.000515314,1.3524,11.3056,12.5892,11.9201,11.9139,11.9204,11.9142,3.54864,0.544146,-149.619,-149.615,2.1855,23.8346,2.43363,23.8339
0.11,-6.44382,-1.00046,4.82279e-06,-0.0165818,-0.00822402,-0.000792524,191,-6.44573,-0.999978,-0.000444735,0.0149954,0.00413205,0.00176197,0,0.000346752,0.0945938,-0.0024656,0.000707835,1.26592,10.8479,11.9221,11.158,11.1509,11.1583,11.1512,3.31771,0.257258,-140.045,-140.042,2.09701,22.3095,2.30467,22.3089
0.12,-6.44282,-1.00049,8.31297e-06,-0.0182011,-0.00890337,-0.000804282,195,-6.4446,-0.999977,-0.000470831,0.0150001,0.00413404,0.00176311,0,0.000357092,0.101761,-0.00276492,0.000819304,1.17983,10.2094,11.1251,10.3995,10.3916,10.3997,10.3919,2.90666,-0.0602807,-130.516,-130.514,1.97358,20.7915,2.1506,20.7911
0.13,-6.44177,-1.00052,1.37242e-05,-0.0194163,-0.0091966,-0.000810065,198,-6.44375,-0.999977,-0.000499992,0.0150036,0.00413554,0.00176396,0,0.000368084,0.107188,-0.00306002,0.00103418,1.11456,9.45237,10.2157,9.8245,9.81594,9.82453,9.81604,2.38034,-0.450495,-123.291,-123.291,1.82724,19.6406,1.97479,19.6404
0.14,-6.44066,-1.00055,2.10564e-05,-0.0202303,-0.0091331,-0.000818212,202,-6.44262,-0.999976,-0.000531804,0.0150083,0.00413754,0.00176511,0,0.000379778,0.112854,-0.0032875,0.0011696,1.0464,8.65407,9.56186,9.22419,9.21511,9.22399,9.21499,1.88385,-0.811205,-115.748,-115.751,1.67292,18.439,1.84841,18.4393
0.15,-6.4395,-1.00059,3.10989e-05,-0.020661,-0.00898237,-0.000824385,206,-6.44149,-0.999975,-0.000565856,0.015013,0.00413954,0.00176625,0,0.000392183,0.11675,-0.0034788,0.00129476,0.999438,7.81758,9.53564,8.81097,8.80159,8.81046,8.80117,1.686,-1.21613,-110.555,-110.561,1.51122,17.6116,1.84334,17.6126
