t,x,y,theta,phiR,phiF,thetap,sr_j,Psx,Psy,d,Cs,Cs1,Cs2,Cs3,d_ave,x_d1,x_d2,x_d3,nu1,nu2,nu3torque_fl,torque_fr,torque_rl,torque_rr,lamda1,lambda2,lambda3,lambda4,Q_phiR, Q_varphiR, Q_phiF, Q_varphiF
0.02,-6.44829,-1.0005,4.65432e-06,0.00115662,0.00425585,-0.000739269,176,-6.44998,-0.999981,-0.000517733,0.0149779,0.00412457,0.0017577,0,0.000268142,5.95006e-05,-0.000669488,8.18026e-06,2.39931,1.68656,6.06898,18.533,18.5329,18.533,18.5329,0.153227,0.0177873,-231.328,-231.328,0.32603,37.066,1.1732,37.066
0.03,-6.44829,-1.0005,-9.96025e-07,0.00218759,0.00796934,-0.00073927,176,-6.44998,-0.999981,-0.000518735,0.0149779,0.00412457,0.0017577,0,0.000351673,8.43859e-05,-0.00100175,-4.26504e-07,2.39902,1.48461,5.34769,18.5308,18.5307,18.5308,18.5307,-0.514173,-0.0187249,-231.301,-231.301,0.286991,37.0616,1.03376,37.0616
0.04,-6.4482,-1.00051,6.48039e-06,0.00113278,0.00424863,-0.000737741,176,-6.44998,-0.999981,-0.000527973,0.0149779,0.00412457,0.0017577,0,0.000395748,0.0148192,-0.00114563,0.000237847,2.22219,2.03892,6.27605,17.1649,17.1648,17.1649,17.1648,0.15328,0.0288583,-214.252,-214.252,0.394144,34.3298,1.21322,34.3298
0.05,-6.44795,-1.00052,7.29563e-06,-5.43028e-05,0.00336384,-0.000740404,177,-6.4497,-0.999981,-0.000538086,0.0149791,0.00412506,0.00175799,0,0.000424216,0.0294247,-0.0012273,0.000273432,2.04697,6.22365,9.55475,15.8117,15.8111,15.8117,15.8111,0.650923,0.309892,-197.358,-197.358,1.2031,31.6229,1.84703,31.6229
0.06,-6.44756,-1.00054,6.23223e-06,-0.00229826,0.00172953,-0.00074413,178,-6.44942,-0.999981,-0.000549066,0.0149802,0.00412556,0.00175827,0,0.000445024,0.0433151,-0.00130864,0.000200933,1.88044,9.48424,11.8781,14.5258,14.5242,14.5258,14.5243,1.43343,0.661685,-181.301,-181.3,1.8334,29.0501,2.29615,29.05
0.07,-6.44704,-1.00056,4.72181e-06,-0.00504212,-0.00017219,-0.000752447,180,-6.44885,-0.999981,-0.00056176,0.0149826,0.00412656,0.00175884,0,0.000461701,0.0549743,-0.00153428,0.00031152,1.74075,11.2169,12.9074,13.4471,13.4443,13.4472,13.4445,2.10223,0.852633,-167.831,-167.829,2.16833,26.8917,2.49514,26.8914
0.08,-6.44642,-1.00058,3.22769e-06,-0.00781678,-0.0019766,-0.00076044,182,-6.44828,-0.99998,-0.000576853,0.0149849,0.00412756,0.00175941,0,0.000476095,0.0659024,-0.00177142,0.000358711,1.6098,11.5994,12.8525,12.4358,12.4318,12.4361,12.4321,2.47462,0.831752,-155.202,-155.198,2.24229,24.8682,2.48452,24.8677
0.09,-6.4457,-1.0006,2.9406e-06,-0.0102747,-0.00340714,-0.000771613,185,-6.44743,-0.999979,-0.000594784,0.0149884,0.00412905,0.00176026,0,0.000489282,0.0748444,-0.00207288,0.000529897,1.50258,11.1546,12.1465,11.6079,11.6026,11.6081,11.6029,2.51287,0.601844,-144.86,-144.856,2.15629,23.2111,2.34805,23.2105
0.1,-6.44489,-1.00063,3.99721e-06,-0.012264,-0.00436451,-0.000781328,188,-6.44658,-0.999979,-0.000615603,0.0149919,0.00413055,0.00176112,0,0.000501914,0.0835344,-0.00232605,0.000626477,1.39827,10.264,11.0861,10.8024,10.7962,10.8027,10.7965,2.28189,0.285535,-134.799,-134.796,1.98413,21.5992,2.14306,21.5986
0.11,-6.44401,-1.00065,6.96392e-06,-0.013754,-0.00484145,-0.000789365,191,-6.44573,-0.999978,-0.000639093,0.0149954,0.00413205,0.00176197,0,0.000514385,0.0904271,-0.00258661,0.000833283,1.31546,9.25074,9.95492,10.163,10.1558,10.1632,10.156,1.89019,-0.0852073,-126.811,-126.809,1.78826,20.3192,1.92439,20.3189
0.12,-6.44306,-1.00068,1.19863e-05,-0.0147478,-0.00486856,-0.000795371,194,-6.44488,-0.999977,-0.000664985,0.0149989,0.00413354,0.00176282,0,0.000526935,0.0971438,-0.00278863,0.000978725,1.2347,8.1836,8.93347,9.53963,9.5317,9.53964,9.53177,1.42476,-0.4425,-119.024,-119.024,1.58197,19.0714,1.72693,19.0713
0.13,-6.44205,-1.00071,1.94591e-05,-0.0152872,-0.00475842,-0.000803934,198,-6.44375,-0.999977,-0.000692793,0.0150036,0.00413554,0.00176396,0,0.000539693,0.102285,-0.00294938,0.0010449,1.17283,7.17655,8.9969,9.06226,9.05391,9.06205,9.05377,1.29887,-0.790438,-113.06,-113.062,1.3873,18.1158,1.73919,18.1162
0.14,-6.44099,-1.00073,2.84128e-05,-0.0154205,-0.00466594,-0.000807433,201,-6.4429,-0.999976,-0.000721832,0.0150071,0.00413704,0.00176482,0,0.000552703,0.107481,-0.00303302,0.000989145,1.11032,6.21554,9.16325,8.57979,8.57156,8.57933,8.57117,1.20885,-1.12997,-107.035,-107.041,1.20153,17.1505,1.77135,17.1514
0.15,-6.43989,-1.00076,3.85674e-05,-0.015336,-0.00452448,-0.000814372,205,-6.44177,-0.999975,-0.000751876,0.0150118,0.00413904,0.00176596,0,0.000565982,0.111306,-0.00312667,0.00108046,1.06435,6.02563,9.14301,8.2247,8.21676,8.22419,8.21631,1.08489,-1.19343,-102.604,-102.611,1.16482,16.4405,1.76744,16.4415
0.16,-6.43875,-1.00079,4.88216e-05,-0.0152583,-0.00427414,-0.00082077,209,-6.44064,-0.999974,-0.000782654,0.0150165,0.00414104,0.0017671,0,0.000579524,0.115401,-0.00317417,0.00112455,1.01522,6.15531,8.87328,7.84505,7.83734,7.84457,7.83692,0.860276,-1.12617,-97.8673,-97.8735,1.18989,15.6815,1.7153,15.6824
0.17,-6.43757,-1.00082,5.97481e-05,-0.0151791,-0.00388029,-0.000826392,213,-6.43951,-0.999973,-0.000814096,0.0150212,0.00414304,0.00176825,0,0.000593322,0.118268,-0.00324864,0.00129276,0.980806,6.25948,8.48659,7.57913,7.57141,7.57868,7.57103,0.601325,-1.07091,-94.5485,-94.5543,1.21002,15.1497,1.64054,15.1505
0.18,-6.43637,-1.00086,7.12564e-05,-0.015098,-0.00331795,-0.000830965,217,-6.43837,-0.999972,-0.000846128,0.0150259,0.00414504,0.00176939,0,0.000607367,0.121493,-0.00328224,0.0013984,0.942109,6.35725,7.99988,7.28019,7.27236,7.27977,7.27202,0.286058,-1.00328,-90.8169,-90.8223,1.22892,14.5518,1.54646,14.5526
0.19,-6.43514,-1.00089,8.39016e-05,-0.0149989,-0.00259014,-0.000838546,222,-6.43696,-0.99997,-0.000878641,0.0150318,0.00414755,0.00177082,0,0.000621644,0.123623,-0.00333437,0.00159972,0.916523,6.38229,7.53227,7.08265,7.07451,7.08226,7.0742,-0.0102755,-0.963711,-88.3495,-88.3548,1.23376,14.1565,1.45607,14.1572
0.2,-6.43388,-1.00092,9.76373e-05,-0.0148395,-0.0017287,-0.000840501,226,-6.43583,-0.999969,-0.000911478,0.0150365,0.00414955,0.00177197,0,0.000636136,0.126156,-0.00333812,0.00171239,0.886101,6.26102,7.05573,6.84788,6.8394,6.84747,6.83908,-0.319701,-0.972071,-85.4169,-85.4224,1.21032,13.6866,1.36394,13.6873
0.21,-6.43261,-1.00095,0.000112933,-0.0145939,-0.000741221,-0.000845248,231,-6.43441,-0.999968,-0.000944466,0.0150423,0.00415206,0.0017734,0,0.000650818,0.12772,-0.00335497,0.00190646,0.867284,6.06548,6.64026,6.70286,6.69393,6.70241,6.69359,-0.586904,-1.00541,-83.6036,-83.6097,1.17252,13.396,1.28363,13.3968
0.22,-6.43132,-1.00098,0.000129561,-0.0142475,0.000334577,-0.00084428,235,-6.43328,-0.999967,-0.000977402,0.015047,0.00415407,0.00177455,0,0.000665663,0.129757,-0.00332003,0.00200694,0.842807,5.80446,6.23423,6.51417,6.50487,6.51366,6.50448,-0.853303,-1.0535,-81.2454,-81.2523,1.12206,13.0181,1.20514,13.019
0.23,-6.43001,-1.00101,0.000147816,-0.0138044,0.00149373,-0.000846122,240,-6.43187,-0.999965,-0.0010101,0.0150529,0.00415658,0.00177598,0,0.000680639,0.130902,-0.00329815,0.00218501,0.829015,5.54813,5.88766,6.40805,6.39832,6.40749,6.39789,-1.07351,-1.08832,-79.9177,-79.9251,1.07251,12.8054,1.13814,12.8064
0.24,-6.42869,-1.00104,0.000167358,-0.0132703,0.00270979,-0.0008466,245,-6.43045,-0.999964,-0.00104236,0.0150588,0.00415909,0.00177742,0,0.00069571,0.13253,-0.00322585,0.00226972,0.809453,5.28072,5.56181,6.25734,6.24728,6.25674,6.24682,-1.28908,-1.11833,-78.0341,-78.0421,1.02082,12.5036,1.07515,12.5046
0.25,-6.42736,-1.00107,0.00018843,-0.0126574,0.00395723,-0.000841499,249,-6.42932,-0.999963,-0.00107402,0.0150635,0.0041611,0.00177857,0,0.000710843,0.13331,-0.00317063,0.00243025,0.800057,5.03348,5.25896,6.18518,6.17471,6.18455,6.17425,-1.46382,-1.12554,-77.1308,-77.139,0.973024,12.3588,1.01661,12.3599
0.26,-6.42602,-1.0011,0.000210663,-0.0119773,0.00523693,-0.000839436,254,-6.42791,-0.999961,-0.00110494,0.0150694,0.00416361,0.00178001,0,0.000726,0.134621,-0.00306972,0.00249941,0.784311,4.79598,4.99372,6.06392,6.05317,6.06328,6.0527,-1.63073,-1.12411,-75.6155,-75.6239,0.927113,12.116,0.965337,12.1171
0.27,-6.42467,-1.00112,0.000234279,-0.011247,0.00652521,-0.000836202,259,-6.4265,-0.99996,-0.00113501,0.0150753,0.00416613,0.00178145,0,0.000741149,0.135166,-0.00299192,0.00264404,0.777761,4.59778,4.77089,6.01369,6.00259,6.01309,6.00217,-1.75658,-1.09151,-74.987,-74.9949,0.888798,12.0153,0.922263,12.0163
0.28,-6.42331,-1.00115,0.000258869,-0.0104761,0.00781185,-0.000831928,264,-6.42508,-0.999958,-0.0011641,0.0150811,0.00416865,0.00178289,0,0.000756254,0.136244,-0.00287013,0.00269542,0.764827,4.40528,4.55817,5.91409,5.90276,5.91352,5.90239,-1.88058,-1.0577,-73.743,-73.7504,0.851585,11.8159,0.88114,11.8169
0.29,-6.42195,-1.00118,0.000284658,-0.00967776,0.00907912,-0.0008224,268,-6.42395,-0.999957,-0.00119216,0.0150859,0.00417066,0.00178405,0,0.000771286,0.136586,-0.00277672,0.00282365,0.760721,4.24244,4.35985,5.88269,5.87104,5.8822,5.87076,-1.9746,-0.997136,-73.3503,-73.3565,0.820106,11.753,0.842803,11.7537
0.3,-6.42058,-1.0012,0.000311298,-0.00885895,0.0103385,-0.000816215,273,-6.42254,-0.999955,-0.00121913,0.0150917,0.00417318,0.00178549,0,0.000786214,0.137464,-0.0026441,0.00286449,0.750194,4.08905,4.18354,5.80162,5.78979,5.80121,5.78959,-2.06602,-0.938268,-72.3384,-72.3436,0.790455,11.5908,0.808722,11.5914
0.31,-6.4192,-1.00122,0.000338975,-0.00803219,0.0115697,-0.000809187,278,-6.42113,-0.999954,-0.00124496,0.0150976,0.00417571,0.00178693,0,0.000801012,0.137632,-0.0025424,0.00297703,0.748188,3.96372,4.04015,5.78638,5.77426,5.78609,5.77419,-2.12879,-0.854177,-72.1481,-72.1516,0.766228,11.5603,0.781002,11.5606
0.32,-6.41782,-1.00124,0.000367343,-0.00720039,0.0127714,-0.000801402,283,-6.41972,-0.999952,-0.00126962,0.0151035,0.00417823,0.00178838,0,0.000815656,0.138378,-0.00240345,0.0030048,0.739261,3.83621,3.8948,5.71762,5.70535,5.71743,5.7054,-2.19413,-0.781758,-71.2904,-71.2924,0.741578,11.4228,0.752905,11.423
