t,x,y,theta,phiR,phiF,thetap,sr_j,Psx,Psy,d,Cs,Cs1,Cs2,Cs3,d_ave,x_d1,x_d2,x_d3,nu1,nu2,nu3,torque_fl,torque_fr,torque_rl,torque_rr,lamda1,lambda2,lambda3,lambda4,Q_phiR, Q_varphiR, Q_phiF, Q_varphiF
0.02,-6.59082,-1.00082,0.00012396,0.000311364,0.0101134,-0.000619036,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.369534,-0.00365341,-0.000508661,11.3907,0.973106,28.9527,0,0,0,0,0.90806,0.0320073,-1029.05,-1029.05,0.205911,171.138,6.12643,171.138
0.03,-6.58977,-1.00082,0.000104961,0.000599526,0.0175148,-0.000620054,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.369534,-0.00365341,-0.000508661,11.3907,0.834202,24.3003,0,0,0,0,-10.1846,-0.678443,-1029.06,-1029.06,0.176518,171.138,5.14197,171.138
0.04,-6.59418,-1.00083,0.000133936,0.000230376,0.0100203,-0.000609731,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.317782,-0.000621756,0.000111368,10.3556,3.0153,29.6435,0,0,0,0,0.733163,-0.953323,-922.81,-922.81,0.638042,153.638,6.27261,153.638
0.05,-6.59693,-1.00083,0.000127482,0.000212652,0.0100741,-0.000615039,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.255546,-0.000439742,-0.000641165,9.11092,1.25929,31.1191,0,0,0,0,0.65282,0.0145886,-795.043,-795.043,0.266467,132.594,6.58484,132.594
0.06,-6.59912,-1.00083,0.000122867,0.00021479,0.0101245,-0.000619978,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.203088,-0.000482782,-0.000449653,8.06176,1.3075,32.3634,0,0,0,0,0.55385,0.0280029,-687.35,-687.35,0.276669,114.856,6.84814,114.856
0.07,-6.60078,-1.00083,0.0001189,0.000215676,0.0101655,-0.00062394,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.149372,-0.00038458,-0.000450647,6.98745,1.39733,33.5934,0,0,0,0,0.459841,0.0262082,-577.076,-577.076,0.295677,96.6923,7.10842,96.6923
0.08,-6.60196,-1.00084,0.000115986,0.000216389,0.0101981,-0.000627165,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.103405,-0.000523269,-0.000264174,6.06811,1.47198,34.6467,0,0,0,0,0.385341,0.0250911,-482.709,-482.709,0.311473,81.149,7.33128,81.149
0.09,-6.60267,-1.00084,0.000112517,0.000216979,0.0102306,-0.000630348,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.0566177,-0.000408368,-0.000434434,5.13236,1.55184,35.7101,0,0,0,0,0.316363,0.0239789,-386.657,-386.657,0.328372,65.3282,7.55631,65.3282
0.1,-6.60297,-1.00085,0.000109822,0.000217672,0.0102613,-0.000633373,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.0178503,-0.000560129,-0.000236762,4.35701,1.61525,36.6109,0,0,0,0,0.263779,0.023733,-307.071,-307.071,0.341788,52.2194,7.74692,52.2194
0.11,-6.60288,-1.00085,0.000106587,0.000218043,0.0102915,-0.000636311,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0218667,-0.000473753,-0.000413506,3.56267,1.68861,37.5213,0,0,0,0,0.214328,0.0238376,-225.535,-225.535,0.357312,38.7895,7.93956,38.7895
