t,x,y,theta,phiR,phiF,thetap,sr_j,Psx,Psy,d,Cs,Cs1,Cs2,Cs3,d_ave,x_d1,x_d2,x_d3,nu1,nu2,nu3,torque_fl,torque_fr,torque_rl,torque_rr,lamda1,lambda2,lambda3,lambda4,Q_phiR, Q_varphiR, Q_phiF, Q_varphiF
0.02,-6.55231,-1.00029,-0.000145888,0.000745914,0.0209749,-0.000869392,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.326582,-0.000612079,-0.000119259,10.5317,0.937258,32.7873,0,0,0,0,-10.4512,-0.635138,-940.876,-940.876,0.198325,156.614,6.93785,156.614
0.03,-6.55262,-1.00029,-0.00016353,0.000965913,0.0279727,-0.000869657,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.320804,-0.000476234,-0.000256839,10.4161,0.80843,27.7501,0,0,0,0,-19.964,-1.22133,-929.012,-929.012,0.171065,154.66,5.87197,154.66
0.04,-6.55559,-1.0003,-0.000170176,0.00111365,0.0330408,-0.000865774,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.28153,-0.0010232,0.000954611,9.63062,0.695308,23.213,0,0,0,0,-24.9079,-1.48365,-848.388,-848.388,0.147128,141.38,4.91191,141.38
0.05,-6.55803,-1.00031,-0.000167858,0.00120985,0.036625,-0.000854451,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.231405,-0.00108948,0.0010161,8.62813,0.568599,18.613,0,0,0,0,-26.4509,-1.52002,-745.486,-745.486,0.120316,124.431,3.93855,124.431
0.06,-6.55998,-1.00032,-0.000171493,0.00127274,0.0391958,-0.000850012,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.182686,-0.000655157,4.46038e-05,7.65373,0.44828,14.6695,0,0,0,0,-26.0202,-1.44334,-645.467,-645.467,0.0948567,107.957,3.10409,107.957
0.07,-6.56146,-1.00032,-0.000189749,0.00131708,0.0411799,-0.000860645,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.136838,0.000123593,-0.0017439,6.73676,0.347171,11.6805,0,0,0,0,-24.4853,-1.31358,-551.343,-551.343,0.073462,92.4538,2.47162,92.4538
0.08,-6.5625,-1.00032,-0.0002045,0.00134948,0.0427589,-0.000873567,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.0935533,-0.000368282,-0.000687849,5.87108,0.25506,9.04032,0,0,0,0,-22.3912,-1.16646,-462.484,-462.484,0.0539711,77.8178,1.91294,77.8178
0.09,-6.56315,-1.00033,-0.000209198,0.00137111,0.0439392,-0.000876332,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.0565545,-0.000637335,-0.000130519,5.13111,0.16685,6.40105,0,0,0,0,-20.3083,-1.03652,-386.529,-386.529,0.0353058,65.3071,1.35447,65.3071
0.1,-6.56345,-1.00033,-0.000213645,0.0013854,0.044822,-0.000878444,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.0212882,-0.000564173,-0.000245162,4.42578,0.0863431,4.02263,0,0,0,0,-17.996,-0.905834,-314.13,-314.13,0.0182703,53.3821,0.851195,53.3821
0.11,-6.56343,-1.00034,-0.000216553,0.00139471,0.0454826,-0.000880064,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.00898772,-0.000644622,-5.36914e-05,3.82026,0.0183497,2.01075,0,0,0,0,-15.8517,-0.794127,-251.976,-251.976,0.00388282,43.1447,0.425477,43.1447
0.12,-6.56311,-1.00035,-0.000218101,0.00140044,0.0459688,-0.000880468,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0389237,-0.000630471,-1.67423e-05,3.22154,-0.0463714,0.12302,0,0,0,0,-13.5807,-0.684474,-190.52,-190.52,-0.00981225,33.0221,0.0260312,33.0221
0.13,-6.56253,-1.00035,-0.000217055,0.00140336,0.0463089,-0.000879024,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0635806,-0.000742103,0.000277404,2.72841,-0.100586,-1.4766,0,0,0,0,-11.6503,-0.597823,-139.901,-139.901,-0.0212842,24.6847,-0.31245,24.6847
0.14,-6.56172,-1.00035,-0.000232174,0.00140729,0.0466481,-0.000887996,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0832757,0.000549831,-0.00303621,2.33448,-0.131722,-2.35381,0,0,0,0,-10.0682,-0.529517,-99.4645,-99.4645,-0.0278727,18.0244,-0.49807,18.0244
0.15,-6.56083,-1.00035,-0.000263475,0.00141827,0.0472251,-0.000920472,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0890415,-0.000549898,-0.00195916,2.21919,-0.114143,-1.77918,0,0,0,0,-9.64261,-0.508392,-87.6309,-87.6309,-0.0241528,16.0752,-0.376477,16.0752
0.16,-6.55992,-1.00036,-0.000265677,0.00142677,0.0477022,-0.000925998,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0895401,0.000200914,0.00066291,2.2092,-0.126397,-2.23056,0,0,0,0,-9.72115,-0.512594,-86.6056,-86.6056,-0.0267458,15.9064,-0.47199,15.9064
0.17,-6.559,-1.00038,-0.000261264,0.0014308,0.0480003,-0.000921062,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0904821,-0.000471026,0.000869129,2.19037,-0.147178,-2.97756,0,0,0,0,-9.74287,-0.515604,-84.6735,-84.6735,-0.031143,15.5881,-0.630056,15.5881
0.18,-6.55809,-1.00038,-0.000261378,0.00143264,0.0481962,-0.000918929,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0915318,-0.000657079,-0.000151914,2.16938,-0.158637,-3.43079,0,0,0,0,-9.71512,-0.515672,-82.5191,-82.5191,-0.0335678,15.2333,-0.72596,15.2333
0.19,-6.55718,-1.00039,-0.000263002,0.00143399,0.0483528,-0.000920276,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0904294,-0.000659594,-0.000103728,2.19143,-0.159086,-3.54662,0,0,0,0,-9.85298,-0.521733,-84.7823,-84.7823,-0.0336628,15.606,-0.75047,15.606
0.2,-6.55627,-1.00039,-0.000265053,0.00143512,0.0484829,-0.000921838,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0911815,-0.00063885,-0.000224063,2.17639,-0.161748,-3.6955,0,0,0,0,-9.81954,-0.520628,-83.2382,-83.2382,-0.0342261,15.3517,-0.781973,15.3517
0.21,-6.55536,-1.0004,-0.000266375,0.00143607,0.0485917,-0.000923201,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0900467,-0.000671489,-5.64236e-05,2.19909,-0.16069,-3.73642,0,0,0,0,-9.94707,-0.526067,-85.5681,-85.5681,-0.0340022,15.7355,-0.790632,15.7355
0.22,-6.55446,-1.0004,-0.000268139,0.00143692,0.0486842,-0.000924494,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0910039,-0.000637693,-0.000219784,2.17994,-0.163123,-3.85231,0,0,0,0,-9.88506,-0.523679,-83.6029,-83.6029,-0.0345171,15.4118,-0.815155,15.4118
0.23,-6.55355,-1.00041,-0.000269373,0.00143773,0.0487652,-0.000925834,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0898047,-0.000674151,-5.4267e-05,2.20393,-0.161293,-3.84938,0,0,0,0,-10.0108,-0.528934,-86.0649,-86.0649,-0.0341299,15.8173,-0.814534,15.8173
0.24,-6.55265,-1.00042,-0.000271173,0.00143853,0.0488381,-0.000927184,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0909158,-0.000634888,-0.000235138,2.1817,-0.163527,-3.9401,0,0,0,0,-9.92881,-0.525633,-83.7837,-83.7837,-0.0346025,15.4415,-0.83373,15.4415
0.25,-6.55175,-1.00042,-0.000272384,0.00143937,0.0489053,-0.000928568,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0896226,-0.000677052,-5.1326e-05,2.20757,-0.161237,-3.90936,0,0,0,0,-10.059,-0.531008,-86.4387,-86.4387,-0.0341181,15.8789,-0.827227,15.8789
