t,x,y,theta,phi,sr_j,Psx,Psy,d,Cs,Cs1,Cs2,Cs3,d_ave,x_d1,x_d2,x_d3,nu1,nu2,torque_fl,torque_fr,torque_rl,torque_rr,lamda1,lambda2,lambda3,lambda4,Q_phi, Q_varphif, Q_varphir
35,-3.27838,-0.871318,0.106514,-0.0187971,11043,-3.27904,-0.874317,0.00291762,0.0525749,0.0232935,0.0127712,0.00576924,0.0153696,0.0916383,0.00607168,0.0052745,0.0822901,0.363328,1.31996,1.31872,1.32048,1.31924,0.340071,-0.215895,-17.0588,-17.0656,0.0367579,2.63868,2.63973
35.01,-3.27747,-0.871211,0.106564,-0.0188046,11047,-3.27817,-0.874233,0.00292475,0.0525952,0.0233046,0.0127763,0.0057666,0.015366,0.0908198,0.0129993,0.00502196,0.0830613,0.353409,1.33181,1.33055,1.33233,1.33108,0.342201,-0.218458,-17.2118,-17.2187,0.0357544,2.66236,2.66342
35.02,-3.27656,-0.871128,0.106615,-0.0188124,11051,-3.27731,-0.874149,0.00293147,0.0526155,0.0233157,0.0127814,0.00576396,0.0153625,0.0916535,0.00608817,0.00527144,0.0821251,0.346102,1.31731,1.31607,1.31783,1.31659,0.339641,-0.215311,-17.0246,-17.0314,0.0350152,2.63338,2.63443
35.03,-3.27565,-0.871021,0.106664,-0.0188199,11055,-3.27644,-0.874065,0.00293866,0.0526358,0.0233269,0.0127865,0.00576129,0.0153589,0.090831,0.0130123,0.00501741,0.0829323,0.336097,1.32974,1.32848,1.33026,1.32901,0.341874,-0.217997,-17.1851,-17.1919,0.0340029,2.65822,2.65927
35.04,-3.27474,-0.870938,0.106716,-0.01882,11060,-3.27535,-0.87396,0.00294543,0.0526612,0.0233408,0.0127928,0.00575795,0.0153554,0.091663,0.00610404,0.00526834,0.0820157,0.338197,1.31556,1.31432,1.31608,1.31484,0.33939,-0.214905,-17.0019,-17.0087,0.0342154,2.62987,2.63091
35.05,-3.27383,-0.87083,0.106765,-0.0188275,11064,-3.27449,-0.873876,0.00295267,0.0526816,0.0233519,0.0127979,0.00575525,0.0153518,0.0908377,0.0130248,0.0050128,0.0828479,0.328121,1.32838,1.32713,1.32891,1.32766,0.341691,-0.217679,-17.1676,-17.1744,0.033196,2.65551,2.65657
35.06,-3.27292,-0.870747,0.106817,-0.0188354,11068,-3.27362,-0.873792,0.0029595,0.0527019,0.0233631,0.012803,0.00575255,0.0153483,0.0916695,0.00611955,0.00526517,0.081938,0.32077,1.31431,1.31307,1.31483,1.31359,0.339226,-0.214609,-16.9858,-16.9925,0.0324523,2.62738,2.62842
35.07,-3.27201,-0.87064,0.106866,-0.0188429,11072,-3.27275,-0.873708,0.00296679,0.0527223,0.0233742,0.0128081,0.00574982,0.0153448,0.0908417,0.0130371,0.00500814,0.082791,0.310626,1.32747,1.32622,1.328,1.32675,0.341583,-0.217457,-17.1558,-17.1626,0.031426,2.65369,2.65474
35.08,-3.2711,-0.870556,0.106917,-0.0188508,11076,-3.27189,-0.873624,0.00297367,0.0527426,0.0233854,0.0128132,0.00574709,0.0153412,0.0916744,0.00613488,0.00526197,0.0818757,0.303272,1.31331,1.31207,1.31383,1.31259,0.339109,-0.214364,-16.9728,-16.9796,0.0306821,2.62538,2.62642
35.09,-3.27018,-0.870454,0.106968,-0.0188507,11081,-3.2708,-0.873519,0.00298061,0.0527681,0.0233993,0.0128195,0.00574365,0.0153377,0.0931892,0.00998658,0.00527888,0.0627044,0.323661,1.00537,1.00443,1.00575,1.00481,0.280613,-0.150991,-12.9931,-12.9981,0.0327447,2.0098,2.01056
35.1,-3.26927,-0.870359,0.10702,-0.0188595,11085,-3.26994,-0.873435,0.00298777,0.0527884,0.0234105,0.0128246,0.00574088,0.0153342,0.0929559,0.00982574,0.00527001,0.0651953,0.312264,1.04536,1.04437,1.04576,1.04477,0.288708,-0.158914,-13.5099,-13.515,0.0315917,2.08973,2.09053
35.11,-3.26837,-0.870264,0.107071,-0.0188675,11089,-3.26907,-0.873351,0.00299449,0.0528088,0.0234217,0.0128297,0.00573809,0.0153307,0.0928079,0.00980087,0.0052117,0.0666925,0.301682,1.06939,1.06838,1.0698,1.06879,0.293331,-0.163829,-13.8205,-13.8258,0.0305211,2.13778,2.13859
35.12,-3.26746,-0.870169,0.107122,-0.0188751,11093,-3.26821,-0.873267,0.00300123,0.0528292,0.0234328,0.0128348,0.0057353,0.0153272,0.092613,0.00980337,0.00515102,0.0686279,0.290991,1.10046,1.09942,1.10088,1.09984,0.299231,-0.170229,-14.2219,-14.2274,0.0294395,2.19987,2.20072
35.13,-3.26656,-0.870074,0.107172,-0.0188826,11097,-3.26734,-0.873182,0.00300804,0.0528496,0.023444,0.0128398,0.00573248,0.0153237,0.0924609,0.0098002,0.0051307,0.0701427,0.281029,1.12477,1.1237,1.1252,1.12414,0.303884,-0.175216,-14.5361,-14.5417,0.0284317,2.24847,2.24933
35.14,-3.26565,-0.869979,0.107222,-0.0188821,11102,-3.26626,-0.873077,0.00301483,0.0528751,0.0234579,0.0128461,0.00572895,0.0153202,0.0923185,0.00979345,0.00512519,0.0715657,0.280688,1.1476,1.14652,1.14804,1.14696,0.30825,-0.179904,-14.8312,-14.837,0.0283972,2.29411,2.295
35.15,-3.26475,-0.869885,0.107272,-0.0188894,11106,-3.26539,-0.872993,0.0030216,0.0528955,0.0234691,0.0128512,0.0057261,0.0153167,0.0921952,0.00979026,0.00512093,0.0727942,0.271164,1.16731,1.16621,1.16776,1.16666,0.312018,-0.183952,-15.0859,-15.0918,0.0274336,2.33352,2.33442
35.16,-3.26385,-0.86979,0.107322,-0.0188967,11110,-3.26453,-0.872909,0.00302837,0.0529159,0.0234803,0.0128562,0.00572324,0.0153132,0.0920856,0.00978901,0.00511539,0.0738852,0.261832,1.18482,1.1837,1.18528,1.18416,0.315367,-0.187547,-15.3122,-15.3182,0.0264895,2.36852,2.36944
35.17,-3.26295,-0.869696,0.107372,-0.0189039,11114,-3.26366,-0.872824,0.00303513,0.0529363,0.0234915,0.0128613,0.00572037,0.0153097,0.09199,0.00978895,0.00510985,0.074835,0.252706,1.20006,1.19893,1.20053,1.19939,0.318287,-0.190674,-15.5092,-15.5152,0.0255663,2.39898,2.39992
35.18,-3.26205,-0.869601,0.107422,-0.018911,11118,-3.2628,-0.87274,0.00304189,0.0529567,0.0235026,0.0128663,0.00571748,0.0153062,0.0919038,0.00978999,0.00510421,0.075691,0.243733,1.2138,1.21265,1.21427,1.21312,0.320922,-0.193491,-15.6867,-15.6928,0.0246585,2.42644,2.42739
35.19,-3.26116,-0.869507,0.107472,-0.0189182,11122,-3.26194,-0.872656,0.00304864,0.0529771,0.0235138,0.0128714,0.00571457,0.0153027,0.0918272,0.00979207,0.00509854,0.0764497,0.234918,1.22597,1.22481,1.22645,1.22529,0.323262,-0.195985,-15.844,-15.8503,0.0237666,2.45078,2.45174
35.2,-3.26026,-0.869412,0.107522,-0.0189174,11127,-3.26085,-0.87255,0.00305539,0.0530026,0.0235278,0.0128777,0.00571092,0.0152992,0.091759,0.00979496,0.00509301,0.0771249,0.235711,1.2368,1.23563,1.23729,1.23612,0.325357,-0.198197,-15.984,-15.9903,0.0238469,2.47244,2.47341
35.21,-3.25936,-0.869318,0.107572,-0.0189245,11131,-3.25999,-0.872466,0.00306214,0.0530231,0.023539,0.0128827,0.00570798,0.0152958,0.0916982,0.00979864,0.00508762,0.0777251,0.227168,1.24643,1.24526,1.24692,1.24574,0.327216,-0.200166,-16.1085,-16.1149,0.0229826,2.49169,2.49267
35.22,-3.25847,-0.869224,0.107622,-0.0189314,11135,-3.25913,-0.872381,0.00306889,0.0530435,0.0235501,0.0128878,0.00570503,0.0152923,0.0916439,0.00980301,0.00508234,0.0782593,0.218743,1.25501,1.25382,1.2555,1.25431,0.328874,-0.201917,-16.2193,-16.2257,0.0221303,2.50883,2.50981
35.23,-3.25757,-0.869129,0.107672,-0.0189384,11139,-3.25826,-0.872297,0.00307564,0.0530639,0.0235613,0.0128928,0.00570207,0.0152888,0.0915955,0.00980799,0.00507718,0.0787348,0.210428,1.26264,1.26144,1.26313,1.26194,0.330354,-0.203474,-16.3179,-16.3243,0.021289,2.52408,2.52507
35.24,-3.25668,-0.869035,0.107721,-0.0189453,11143,-3.2574,-0.872213,0.00308239,0.0530844,0.0235725,0.0128978,0.00569908,0.0152853,0.0915523,0.00981351,0.00507211,0.0791583,0.202213,1.26943,1.26823,1.26993,1.26873,0.331676,-0.204859,-16.4057,-16.4122,0.0204579,2.53767,2.53866
35.25,-3.25579,-0.868935,0.107772,-0.0189525,11147,-3.25654,-0.872128,0.00308907,0.0531048,0.0235837,0.0129028,0.00569609,0.0152819,0.089249,0.0128986,0.005136,0.0987385,0.173136,1.58334,1.58184,1.58398,1.58248,0.391248,-0.269574,-20.4626,-20.4709,0.0175162,3.16518,3.16647
35.26,-3.25489,-0.868845,0.107824,-0.0189617,11151,-3.25567,-0.872044,0.00309673,0.0531253,0.0235949,0.0129078,0.00569308,0.0152784,0.0915468,0.00994875,0.00529566,0.0790668,0.18301,1.26792,1.26672,1.26842,1.26722,0.331218,-0.204665,-16.3861,-16.3926,0.0185151,2.53464,2.53563
35.27,-3.25399,-0.86875,0.107876,-0.0189626,11156,-3.25459,-0.871938,0.0031038,0.0531509,0.0236089,0.0129141,0.00568929,0.015275,0.0916725,0.00982597,0.00527147,0.0779496,0.18438,1.25001,1.24882,1.2505,1.24931,0.328096,-0.200803,-16.1547,-16.161,0.0186537,2.49883,2.49981
35.28,-3.2532,-0.868667,0.107921,-0.0189736,11159,-3.25395,-0.871875,0.00310939,0.0531662,0.0236173,0.0129179,0.00568701,0.0152715,0.087459,0.00903538,0.00493761,0.120688,0.125706,1.93588,1.93404,1.93668,1.93484,0.458127,-0.342226,-25.0186,-25.0291,0.0127177,3.86992,3.87152
35.29,-3.2522,-0.868561,0.107976,-0.0189767,11164,-3.25287,-0.871769,0.00311697,0.0531918,0.0236313,0.0129241,0.00568319,0.0152681,0.0918284,0.00989277,0.0050454,0.076326,0.170064,1.22399,1.22283,1.22447,1.2233,0.323192,-0.195425,-15.8184,-15.8246,0.0172054,2.44681,2.44777
35.3,-3.2513,-0.868466,0.108026,-0.0189835,11168,-3.25201,-0.871684,0.00312379,0.0532123,0.0236425,0.0129291,0.00568011,0.0152646,0.0919435,0.00992785,0.00503151,0.0751441,0.16393,1.20502,1.20388,1.20549,1.20435,0.319701,-0.191452,-15.5733,-15.5794,0.0165848,2.4089,2.40984
35.31,-3.2504,-0.868371,0.108077,-0.0189915,11172,-3.25114,-0.8716,0.00313072,0.0532328,0.0236537,0.0129341,0.00567702,0.0152612,0.091869,0.0102052,0.00527792,0.0755854,0.15314,1.21204,1.21089,1.21251,1.21136,0.320602,-0.193177,-15.664,-15.6701,0.0154931,2.42293,2.42388
35.32,-3.24951,-0.868275,0.108133,-0.0190031,11176,-3.25028,-0.871515,0.00313886,0.0532533,0.0236649,0.0129391,0.00567392,0.0152578,0.0916918,0.0100238,0.00552496,0.0775426,0.138549,1.24342,1.24224,1.24391,1.24273,0.326939,-0.199412,-16.0695,-16.0759,0.014017,2.48566,2.48664
35.33,-3.24861,-0.86818,0.108186,-0.0190045,11181,-3.24921,-0.871409,0.00314559,0.0532789,0.0236789,0.0129454,0.00567001,0.0152544,0.0917638,0.00986352,0.0053515,0.0769986,0.13821,1.23473,1.23356,1.23522,1.23404,0.325395,-0.197556,-15.9573,-15.9635,0.0139827,2.4683,2.46926
35.34,-3.24771,-0.868085,0.108237,-0.0190118,11185,-3.24834,-0.871325,0.00315196,0.0532994,0.0236901,0.0129503,0.00566688,0.0152509,0.0916569,0.00991101,0.00509655,0.0780097,0.128833,1.25099,1.24981,1.25149,1.2503,0.328478,-0.20091,-16.1674,-16.1738,0.0130341,2.5008,2.50178
35.35,-3.24682,-0.86799,0.108288,-0.019019,11189,-3.24748,-0.87124,0.00315842,0.0533199,0.0237013,0.0129553,0.00566372,0.0152475,0.0916628,0.0101764,0.00526969,0.0776646,0.121245,1.24541,1.24422,1.2459,1.24471,0.327531,-0.199696,-16.0952,-16.1015,0.0122664,2.48963,2.49061
35.36,-3.24584,-0.867887,0.108352,-0.0190279,11194,-3.24641,-0.871134,0.00316655,0.0533456,0.0237154,0.0129616,0.00565976,0.0152441,0.0871916,0.00901814,0.00581193,0.123365,0.0609415,1.97871,1.97682,1.97953,1.97765,0.466176,-0.351162,-25.5721,-25.5828,0.00616545,3.95553,3.95718
35.37,-3.24503,-0.867798,0.10841,-0.019048,11197,-3.24576,-0.87107,0.00317422,0.053361,0.0237238,0.0129653,0.00565737,0.0152407,0.0919991,0.0103362,0.00637835,0.0741487,0.091282,1.1888,1.18767,1.18926,1.18813,0.316915,-0.187973,-15.3636,-15.3696,0.009235,2.37647,2.37739
35.38,-3.24413,-0.867702,0.108468,-0.019062,11201,-3.2449,-0.870986,0.00318191,0.0533815,0.023735,0.0129703,0.00565417,0.0152373,0.0918225,0.00994337,0.00578543,0.0763285,0.0717152,1.22391,1.22274,1.22439,1.22322,0.323225,-0.195422,-15.8173,-15.8235,0.00725542,2.44665,2.44761
35.39,-3.24323,-0.867608,0.108521,-0.0190631,11206,-3.24382,-0.87088,0.00318812,0.0534072,0.023749,0.0129765,0.00565015,0.0152339,0.0918987,0.0099525,0.00525647,0.0755596,0.0724891,1.21166,1.2105,1.21213,1.21097,0.321187,-0.192713,-15.659,-15.6651,0.00733372,2.42216,2.4231
35.4,-3.24233,-0.867512,0.108571,-0.01907,11210,-3.24296,-0.870795,0.00319487,0.0534277,0.0237602,0.0129814,0.00564691,0.0152305,0.0917545,0.0100128,0.00498411,0.0769275,0.0633613,1.23364,1.23246,1.23412,1.23295,0.325409,-0.197214,-15.9431,-15.9494,0.00641026,2.46611,2.46707
35.41,-3.24144,-0.867424,0.108623,-0.0190775,11214,-3.2421,-0.87071,0.0032012,0.0534483,0.0237715,0.0129864,0.00564366,0.0152271,0.0899356,0.00592753,0.00552308,0.099438,0.0299725,1.5951,1.59358,1.59575,1.59423,0.393639,-0.27193,-20.6146,-20.623,0.00303232,3.18869,3.18998
35.42,-3.24054,-0.86732,0.108682,-0.0190907,11218,-3.24124,-0.870625,0.00320901,0.0534688,0.0237827,0.0129913,0.0056404,0.0152237,0.0919897,0.0104394,0.00603137,0.0741272,0.0428046,1.1885,1.18737,1.18897,1.18783,0.317109,-0.187769,-15.3597,-15.3657,0.00433054,2.37587,2.3768
35.43,-3.23965,-0.867231,0.108747,-0.0191073,11222,-3.24038,-0.87054,0.00321657,0.0534894,0.0237939,0.0129963,0.00563712,0.0152203,0.0898603,0.00599613,0.00652664,0.100116,-0.00637105,1.60589,1.60435,1.60654,1.605,0.395426,-0.274332,-20.7539,-20.7624,-0.00064456,3.21024,3.21154
35.44,-3.23875,-0.867128,0.108811,-0.0191162,11227,-3.23931,-0.870434,0.0032243,0.0535151,0.023808,0.0130025,0.005633,0.0152169,0.0921109,0.0101895,0.00620388,0.0731923,0.01398,1.1735,1.17238,1.17395,1.17283,0.314225,-0.184706,-15.1658,-15.1717,0.00141435,2.34588,2.34679
35.45,-3.23777,-0.867025,0.108872,-0.0191315,11231,-3.23845,-0.870349,0.00323155,0.0535356,0.0238192,0.0130074,0.00562968,0.0152135,0.0876936,0.00902439,0.00526688,0.118367,-0.0531313,1.8986,1.89678,1.89939,1.89757,0.451385,-0.334435,-24.5368,-24.547,-0.00537529,3.79538,3.79696
35.46,-3.23695,-0.866937,0.108918,-0.0191354,11235,-3.23759,-0.870264,0.00323768,0.0535562,0.0238304,0.0130124,0.00562635,0.0152101,0.0921129,0.010078,0.00506773,0.0732927,-0.00824887,1.1753,1.17418,1.17576,1.17463,0.314547,-0.185079,-15.1891,-15.1951,-0.000834538,2.34948,2.35039
35.47,-3.23605,-0.866841,0.108968,-0.0191422,11239,-3.23673,-0.870179,0.00324411,0.0535768,0.0238417,0.0130173,0.005623,0.0152068,0.0921614,0.0103213,0.00522771,0.0725454,-0.0148546,1.16327,1.16215,1.16372,1.1626,0.312402,-0.182519,-15.0336,-15.0394,-0.00150284,2.32542,2.32632
35.48,-3.23515,-0.866752,0.109027,-0.0191542,11243,-3.23587,-0.870094,0.00325126,0.0535974,0.0238529,0.0130222,0.00561964,0.0152034,0.0901288,0.00611482,0.00603391,0.0973272,-0.0565675,1.56117,1.55968,1.5618,1.56031,0.387337,-0.264886,-20.176,-20.1842,-0.00572294,3.12085,3.12211
35.49,-3.23425,-0.866647,0.10909,-0.0191701,11247,-3.23501,-0.870009,0.00325905,0.053618,0.0238641,0.0130272,0.00561627,0.0152,0.0922909,0.0104765,0.00635985,0.0710888,-0.0456708,1.1397,1.1386,1.14013,1.13904,0.308091,-0.177582,-14.7289,-14.7346,-0.00462051,2.2783,2.27918
35.5,-3.23335,-0.866559,0.109157,-0.0191793,11252,-3.23394,-0.869903,0.00326595,0.0536437,0.0238782,0.0130333,0.00561202,0.0151967,0.0901117,0.00603396,0.00662544,0.09759,-0.0867003,1.56534,1.56384,1.56597,1.56447,0.387915,-0.265891,-20.2298,-20.2381,-0.00877147,3.12918,3.13045
35.51,-3.23245,-0.866455,0.109223,-0.0191965,11256,-3.23308,-0.869818,0.00327288,0.0536643,0.0238894,0.0130382,0.00560861,0.0151933,0.0923659,0.0104511,0.00650764,0.0703699,-0.0757199,1.12814,1.12706,1.12857,1.12749,0.30589,-0.175211,-14.5795,-14.5852,-0.00766058,2.2552,2.25606
35.52,-3.23154,-0.86637,0.10929,-0.019212,11260,-3.23222,-0.869732,0.00327786,0.0536849,0.0239007,0.0130432,0.00560518,0.01519,0.091838,0.00456559,0.00655353,0.0820368,-0.108303,1.31594,1.31468,1.31646,1.3152,0.340639,-0.214437,-17.0067,-17.0135,-0.0109571,2.63062,2.63167
35.53,-3.23065,-0.866263,0.109354,-0.01923,11264,-3.23136,-0.869647,0.00328629,0.0537056,0.0239119,0.0130481,0.00560174,0.0151866,0.0922809,0.0102224,0.00608164,0.0714635,-0.115888,1.14578,1.14468,1.14622,1.14512,0.309397,-0.178746,-14.8075,-14.8133,-0.0117244,2.29046,2.29134
35.54,-3.22975,-0.866178,0.109409,-0.0192396,11268,-3.2305,-0.869562,0.00329211,0.0537262,0.0239232,0.013053,0.00559828,0.0151833,0.0916135,0.00439005,0.00545228,0.0844652,-0.14204,1.355,1.3537,1.35554,1.35424,0.348528,-0.222189,-17.5115,-17.5185,-0.0143702,2.7087,2.70978
35.55,-3.22885,-0.866076,0.10947,-0.0192496,11273,-3.22943,-0.869456,0.00330355,0.053752,0.0239373,0.0130591,0.00559393,0.0151799,0.0914623,0.00481094,0.00631478,0.0855121,-0.156812,1.3717,1.37038,1.37225,1.37093,0.350906,-0.226135,-17.7273,-17.7344,-0.0158646,2.74208,2.74317
35.56,-3.22795,-0.865972,0.109541,-0.0192725,11277,-3.22857,-0.86937,0.00331344,0.0537726,0.0239485,0.013064,0.00559044,0.0151766,0.0926478,0.00812273,0.0062681,0.0701107,-0.166233,1.12425,1.12317,1.12469,1.1236,0.304547,-0.174775,-14.5293,-14.535,-0.0168178,2.24742,2.24829
35.57,-3.22706,-0.865869,0.109599,-0.0192868,11281,-3.22772,-0.869285,0.00332179,0.0537932,0.0239598,0.0130689,0.00558693,0.0151733,0.0872163,0.0108397,0.00547917,0.121127,-0.239255,1.94269,1.94082,1.9435,1.94162,0.459341,-0.343844,-25.1065,-25.117,-0.0242054,3.88351,3.88512
35.58,-3.22616,-0.865754,0.109661,-0.0193108,11285,-3.22686,-0.8692,0.00333942,0.0538139,0.023971,0.0130738,0.0055834,0.0151699,0.0891929,0.015405,0.00714448,0.0964835,-0.240038,1.54648,1.54499,1.54711,1.54561,0.384787,-0.261833,-19.9859,-19.994,-0.0242847,3.09147,3.09272
35.59,-3.22525,-0.865676,0.109731,-0.0193218,11289,-3.226,-0.869115,0.00333743,0.0538345,0.0239823,0.0130787,0.00557986,0.0151666,0.0938335,0.00943517,0.00623841,0.0568917,-0.210696,0.912024,0.911143,0.91236,0.911479,0.264245,-0.131052,-11.7865,-11.7909,-0.0213161,1.82317,1.82384
35.6,-3.22434,-0.865572,0.109793,-0.0193353,11294,-3.22493,-0.869008,0.00335062,0.0538604,0.0239964,0.0130848,0.00557541,0.0151633,0.0935796,0.0103787,0.00614493,0.0583807,-0.227059,0.935838,0.934933,0.936184,0.93528,0.269222,-0.135681,-12.0943,-12.0988,-0.0229716,1.87077,1.87146
35.61,-3.22346,-0.865476,0.109866,-0.019355,11298,-3.22408,-0.868923,0.00335659,0.053881,0.0240077,0.0130897,0.00557183,0.01516,0.0864919,0.0106375,0.00666431,0.128545,-0.327038,2.06155,2.05955,2.06241,2.06041,0.482313,-0.36811,-26.6424,-26.6536,-0.0330864,4.1211,4.12282
35.62,-3.22256,-0.865371,0.109927,-0.0193759,11302,-3.22322,-0.868837,0.0033701,0.0539017,0.0240189,0.0130946,0.00556824,0.0151567,0.0863264,0.0112574,0.00634263,0.129508,-0.353167,2.07699,2.07498,2.07785,2.07584,0.485144,-0.371357,-26.842,-26.8533,-0.0357299,4.15196,4.1537
35.63,-3.22164,-0.865285,0.109998,-0.0193942,11306,-3.22236,-0.868752,0.00337554,0.0539224,0.0240302,0.0130994,0.00556463,0.0151533,0.0931784,0.00556516,0.00639378,0.0676522,-0.308939,1.08505,1.084,1.08547,1.08441,0.296551,-0.167025,-14.0227,-14.0281,-0.0312554,2.16905,2.16988
35.64,-3.22073,-0.86518,0.110058,-0.019407,11311,-3.22129,-0.868645,0.00338924,0.0539482,0.0240443,0.0131055,0.00556009,0.01515,0.0924693,0.0054238,0.0058553,0.0748569,-0.331199,1.20072,1.19955,1.20118,1.20002,0.31866,-0.190768,-15.5175,-15.5236,-0.0335074,2.40027,2.4012
35.65,-3.21983,-0.865065,0.11013,-0.0194324,11315,-3.22044,-0.86856,0.00340206,0.0539689,0.0240556,0.0131104,0.00555645,0.0151468,0.0899482,0.0126735,0.0071923,0.0919504,-0.377484,1.47405,1.47262,1.47464,1.47321,0.371583,-0.246544,-19.0498,-19.0575,-0.0381901,2.94667,2.94785
35.66,-3.21892,-0.864951,0.110186,-0.019455,11319,-3.21958,-0.868474,0.003419,0.0539896,0.0240668,0.0131152,0.00555279,0.0151435,0.0897672,0.0164908,0.00575203,0.0895479,-0.402304,1.43544,1.43404,1.43602,1.43462,0.364031,-0.238731,-18.5508,-18.5583,-0.0407011,2.86948,2.87063
35.67,-3.21801,-0.864858,0.110255,-0.0194728,11323,-3.21873,-0.868389,0.00342701,0.0540103,0.0240781,0.0131201,0.00554911,0.0151402,0.0899767,0.0128232,0.00758318,0.0914979,-0.425583,1.46669,1.46527,1.46728,1.46585,0.36991,-0.245211,-18.9547,-18.9624,-0.0430563,2.93196,2.93314
35.68,-3.21709,-0.864758,0.110311,-0.0194843,11328,-3.21766,-0.868282,0.00343989,0.0540362,0.0240922,0.0131262,0.00554449,0.0151369,0.0941857,0.010713,0.0053705,0.0519843,-0.397714,0.833307,0.832495,0.833607,0.832795,0.249316,-0.11482,-10.7692,-10.7731,-0.0402367,1.6658,1.6664
35.69,-3.21619,-0.864674,0.110374,-0.0195035,11332,-3.2168,-0.868197,0.00345208,0.0540569,0.0241035,0.013131,0.00554077,0.0151336,0.0913331,-0.000952676,0.00645678,0.0931861,-0.46433,1.49542,1.49396,1.49602,1.49457,0.374792,-0.251353,-19.3262,-19.334,-0.0469763,2.98939,2.99059
35.7,-3.21529,-0.864529,0.110442,-0.0195361,11336,-3.21595,-0.868111,0.0034737,0.0540776,0.0241148,0.0131358,0.00553704,0.0151304,0.0901521,0.0187869,0.00765843,0.0831739,-0.49102,1.33239,1.33109,1.33292,1.33162,0.344835,-0.217332,-17.2189,-17.2258,-0.0496764,2.66348,2.66454
35.71,-3.21437,-0.864455,0.110495,-0.0195435,11340,-3.21509,-0.868025,0.00347649,0.0540983,0.0241261,0.0131407,0.0055333,0.0151271,0.0925166,0.00638458,0.00462688,0.0733437,-0.488967,1.17648,1.17533,1.17693,1.17578,0.314973,-0.185202,-15.2042,-15.2101,-0.0494688,2.3518,2.35271
35.72,-3.21347,-0.864341,0.110551,-0.0195605,11345,-3.21402,-0.867918,0.00349864,0.0541242,0.0241402,0.0131467,0.00552859,0.0151238,0.0925918,0.00714189,0.00615416,0.0717621,-0.505848,1.15087,1.14975,1.15132,1.15019,0.310783,-0.179526,-14.8732,-14.879,-0.0511767,2.30062,2.3015
35.73,-3.21257,-0.86423,0.110615,-0.0195822,11349,-3.21317,-0.867833,0.00351104,0.054145,0.0241515,0.0131516,0.00552481,0.0151206,0.086745,0.0117729,0.00587255,0.12476,-0.591476,2.00085,1.9989,2.00169,1.99973,0.470998,-0.355487,-25.858,-25.8688,-0.0598396,3.99975,4.00142
35.74,-3.21165,-0.864139,0.11068,-0.0196009,11353,-3.21231,-0.867747,0.00352091,0.0541657,0.0241628,0.0131564,0.00552101,0.0151173,0.0934772,0.00585598,0.00603851,0.064386,-0.549178,1.03265,1.03164,1.03304,1.03203,0.286933,-0.156028,-13.3455,-13.3505,-0.0555603,2.06429,2.06508
35.75,-3.21074,-0.864029,0.110737,-0.0196221,11357,-3.21146,-0.867662,0.00353713,0.0541864,0.0241741,0.0131612,0.00551719,0.0151141,0.0928306,0.00704478,0.00606374,0.0695009,-0.576464,1.11461,1.11352,1.11504,1.11394,0.303878,-0.172065,-14.4046,-14.4102,-0.0583209,2.22813,2.22898
35.76,-3.20984,-0.863916,0.110797,-0.0196353,11362,-3.21039,-0.867554,0.00355116,0.0542124,0.0241882,0.0131672,0.0055124,0.0151109,0.0868594,0.0120968,0.00544404,0.123258,-0.652557,1.97681,1.97487,1.97763,1.97569,0.466473,-0.350506,-25.5472,-25.5579,-0.0660192,3.95168,3.95332
35.77,-3.20892,-0.863822,0.110859,-0.0196543,11366,-3.20954,-0.867469,0.00356302,0.0542331,0.0241995,0.013172,0.00550855,0.0151076,0.0935289,0.00599512,0.00588255,0.0637246,-0.611381,1.02204,1.02104,1.02243,1.02143,0.285026,-0.153776,-13.2083,-13.2133,-0.0618534,2.04308,2.04386
35.78,-3.20801,-0.863711,0.110916,-0.0196758,11370,-3.20869,-0.867383,0.00358032,0.0542539,0.0242108,0.0131768,0.00550468,0.0151044,0.092946,0.00709939,0.00603017,0.0682967,-0.638282,1.09529,1.09421,1.09571,1.09463,0.300399,-0.167966,-14.1549,-14.1603,-0.064575,2.1895,2.19034
35.79,-3.20711,-0.863596,0.110974,-0.0196893,11375,-3.20762,-0.867276,0.00359523,0.0542799,0.0242249,0.0131828,0.00549982,0.0151012,0.0870331,0.0123472,0.00514253,0.121248,-0.714146,1.94459,1.94268,1.9454,1.94349,0.460426,-0.343822,-25.1308,-25.1413,-0.0722501,3.88727,3.88889
35.8,-3.20619,-0.863501,0.111035,-0.0197091,11379,-3.20677,-0.86719,0.00360868,0.0543006,0.0242362,0.0131876,0.00549591,0.015098,0.0936738,0.00608853,0.00582934,0.0621858,-0.674346,0.99735,0.996368,0.997726,0.996743,0.280433,-0.148629,-12.8892,-12.8941,-0.0682236,1.99372,1.99447
35.81,-3.20528,-0.863382,0.111096,-0.0197316,11383,-3.20591,-0.867104,0.00362472,0.0543214,0.0242475,0.0131924,0.00549199,0.0150948,0.0904899,0.0131264,0.00638442,0.0860272,-0.723241,1.37914,1.37778,1.37968,1.37832,0.354379,-0.226478,-17.8231,-17.8302,-0.0731702,2.75691,2.75801
35.82,-3.20437,-0.86328,0.111153,-0.0197449,11387,-3.20506,-0.867018,0.00363382,0.0543422,0.0242588,0.0131972,0.00548805,0.0150916,0.0903849,0.0133422,0.00653322,0.0868295,-0.741232,1.39196,1.39058,1.39251,1.39114,0.356229,-0.229491,-17.9887,-17.9959,-0.0749904,2.78254,2.78365
