t,x,y,theta,phiR,phiF,thetap,sr_j,Psx,Psy,d,Cs,Cs1,Cs2,Cs3,d_ave,x_d1,x_d2,x_d3,nu1,nu2,nu3torque_fl,torque_fr,torque_rl,torque_rr,lamda1,lambda2,lambda3,lambda4,Q_phiR, Q_varphiR, Q_phiF, Q_varphiF
0.02,-6.44828,-1.00042,-4.63415e-07,0.00098585,0.00411139,-0.000744345,176,-6.44998,-0.999981,-0.00043855,0.0149779,0.00412457,0.0017577,0,0.000228551,7.17506e-05,-0.000638254,3.80147e-06,1.9993,1.2137,4.87508,16.9011,16.901,16.9011,16.901,0.135987,0.0167682,-205.221,-205.221,0.25682,33.8021,1.03157,33.8021
0.03,-6.44828,-1.00042,-6.12425e-06,0.00187519,0.00769007,-0.000744347,176,-6.44998,-0.999981,-0.000439332,0.0149779,0.00412457,0.0017577,0,0.000298811,8.58202e-05,-0.00078232,-1.734e-06,1.99916,1.06722,4.29468,16.9,16.8999,16.9,16.8999,-0.459589,-0.0137349,-205.207,-205.207,0.225826,33.7999,0.908762,33.7999
0.04,-6.4482,-1.00043,-9.02296e-08,0.000479934,0.00374299,-0.000743766,176,-6.44998,-0.999981,-0.000446868,0.0149779,0.00412457,0.0017577,0,0.000335826,0.0129268,-0.000860935,0.000139524,1.87076,3.46423,6.56618,15.8147,15.8143,15.8147,15.8143,0.277114,0.0735732,-192.027,-192.027,0.733036,31.629,1.38941,31.629
0.05,-6.44798,-1.00044,-7.74369e-07,-0.00105469,0.00261086,-0.000747708,177,-6.4497,-0.999981,-0.000454956,0.0149791,0.00412506,0.00175799,0,0.000359652,0.0257674,-0.000908503,0.000138883,1.74243,6.04839,8.49329,14.7301,14.7292,14.7301,14.7292,0.757007,0.234409,-178.854,-178.854,1.27985,29.4593,1.79719,29.4593
0.06,-6.44764,-1.00046,-2.72653e-06,-0.00312734,0.00113827,-0.000752478,178,-6.44942,-0.999981,-0.000463658,0.0149802,0.00412556,0.00175827,0,0.000376986,0.038051,-0.000975076,9.56135e-05,1.61973,7.60229,9.52694,13.6932,13.6913,13.6932,13.6914,1.30356,0.397766,-166.258,-166.258,1.60866,27.3846,2.01592,27.3845
0.07,-6.44719,-1.00047,-4.86959e-06,-0.00537239,-0.000370875,-0.000761661,180,-6.44885,-0.999981,-0.000473617,0.0149826,0.00412656,0.00175884,0,0.000390791,0.0483158,-0.00114003,0.000174902,1.51723,8.31909,9.87019,12.827,12.8241,12.8271,12.8242,1.72319,0.456035,-155.735,-155.734,1.76033,25.6513,2.08855,25.6511
0.08,-6.44664,-1.00049,-6.79232e-06,-0.00756057,-0.001741,-0.000770416,182,-6.44828,-0.99998,-0.000485414,0.0149849,0.00412756,0.00175941,0,0.000402618,0.0582345,-0.00132074,0.000218134,1.41816,8.51382,9.77621,11.9898,11.9859,11.9899,11.9861,1.97653,0.449585,-145.564,-145.562,1.80154,23.976,2.06866,23.9757
0.09,-6.446,-1.0005,-7.84691e-06,-0.00954296,-0.00286377,-0.000778383,184,-6.44772,-0.99998,-0.00049939,0.0149872,0.00412855,0.00175998,0,0.000413371,0.0663514,-0.00155594,0.000349154,1.33706,8.32063,9.37889,11.3044,11.2995,11.3046,11.2998,2.03909,0.330536,-137.236,-137.233,1.76066,22.6043,1.98459,22.6039
0.1,-6.44528,-1.00052,-7.95704e-06,-0.011244,-0.00368789,-0.00078529,186,-6.44715,-0.999979,-0.000515702,0.0149896,0.00412955,0.00176055,0,0.000423604,0.0744465,-0.00176853,0.000425865,1.25612,7.94104,8.84065,10.6204,10.6147,10.6206,10.6149,1.95459,0.185588,-128.925,-128.923,1.68034,21.2355,1.8707,21.2351
0.11,-6.44449,-1.00054,-6.66358e-06,-0.0126241,-0.00418267,-0.000795189,189,-6.4463,-0.999979,-0.000534337,0.0149931,0.00413105,0.0017614,0,0.000433671,0.0808748,-0.00200275,0.00058947,1.1918,7.40983,8.19212,10.0769,10.0703,10.077,10.0705,1.74018,-0.0281909,-122.32,-122.318,1.56793,20.1476,1.73346,20.1472
