t,x,y,theta,phi,sr_j,Psx,Psy,d,Cs,Cs1,Cs2,Cs3,d_ave,x_d1,x_d2,x_d3,nu1,nu2,torque_fl,torque_fr,torque_rl,torque_rr,Q_phi
0.02,-6.49599,-1.05921,-0.00633767,0.0677033,8,-6.49696,-1,-0.0592007,0.0166347,0.00467897,0.00194134,0.00103624,0.0546003,0.000674394,-0.00210164,-0.00147185,0.994128,81.1151,16.1257,16.1695,16.1257,16.1695,8.20642
0.03,-6.49598,-1.05921,-0.00628224,0.12657,8,-6.49696,-1,-0.0592026,0.0166347,0.00467897,0.00194134,0.00103624,0.0561344,0.000741491,-0.00196542,-0.00131399,0.993466,70.6324,16.0959,16.178,16.0958,16.178,7.14588
0.04,-6.49592,-1.05923,-0.00635747,0.0677366,8,-6.49696,-1,-0.0592212,0.0166347,0.00467897,0.00194134,0.00103624,0.0569061,0.00901388,-0.0016486,-0.00200023,0.910764,81.1749,14.7735,14.8136,14.7735,14.8136,8.21247
0.05,-6.49576,-1.05925,-0.00637998,0.0681324,9,-6.49658,-1,-0.059238,0.0166365,0.00467971,0.00194173,0.00103649,0.0573725,0.0182209,-0.00157969,-0.00225411,0.818689,79.6334,13.2798,13.3161,13.2798,13.3161,8.05651
0.06,-6.49552,-1.05926,-0.00640141,0.0691856,9,-6.49658,-1,-0.0592551,0.0166365,0.00467971,0.00194173,0.00103649,0.0576863,0.0266516,-0.00166175,-0.00208508,0.734316,71.3092,11.911,11.9441,11.911,11.9441,7.21435
0.07,-6.4952,-1.05928,-0.00642028,0.0708709,10,-6.4962,-1,-0.0592733,0.0166383,0.00468045,0.00194212,0.00103674,0.057913,0.0338881,-0.00178452,-0.00179961,0.661904,65.7903,10.7365,10.767,10.7363,10.7668,6.656
0.08,-6.49481,-1.0593,-0.00643746,0.0726188,11,-6.49582,-1,-0.0592925,0.01664,0.00468118,0.00194252,0.00103699,0.0580854,0.0406232,-0.00186351,-0.00162321,0.59455,65.6961,9.64408,9.67219,9.64375,9.67185,6.64647
0.09,-6.49436,-1.05932,-0.00645321,0.0742767,12,-6.49544,-1,-0.0593123,0.0166418,0.00468192,0.00194291,0.00103724,0.0582217,0.0464418,-0.00191725,-0.001482,0.536369,66.3785,8.70055,8.72648,8.70013,8.72607,6.71551
0.1,-6.49385,-1.05934,-0.00646735,0.0759869,14,-6.49468,-1,-0.0593326,0.0166454,0.0046834,0.0019437,0.00103774,0.0583328,0.0518163,-0.0019592,-0.00131816,0.482612,64.8515,7.82911,7.85299,7.82841,7.85229,6.56103
0.11,-6.4933,-1.05936,-0.00647927,0.0779117,15,-6.4943,-1,-0.0593533,0.0166472,0.00468414,0.0019441,0.00103799,0.0584256,0.0563809,-0.0020132,-0.00107627,0.436945,62.0676,7.08931,7.11148,7.08807,7.11024,6.27938
