t,x,y,theta,phi,sr_j,Psx,Psy,d,Cs,Cs1,Cs2,Cs3,d_ave,x_d1,x_d2,x_d3,nu1,nu2,torque_fl,torque_fr,torque_rl,torque_rr,Q_phi
0.02,-6.49592,-1.0594,-0.00647139,0.067995,9,-6.49658,-1,-0.0593958,0.0166365,0.00467971,0.00194173,0.00103649,0.0546979,0.000674153,-0.00210173,-0.00147185,0.994132,81.4627,16.1202,16.1752,16.1202,16.1752,8.24158
0.03,-6.49508,-1.05941,-0.00641703,0.127128,11,-6.49582,-1,-0.0594047,0.01664,0.00468118,0.00194252,0.00103699,0.0562668,0.000674151,-0.00210296,-0.00147182,0.994132,70.9518,16.0961,16.1993,16.0961,16.1993,7.17819
0.04,-6.49585,-1.05942,-0.00649022,0.0682338,9,-6.49658,-1,-0.0594142,0.0166365,0.00467971,0.00194173,0.00103649,0.0570537,0.00964831,-0.00179744,-0.00214253,0.904399,79.6844,14.665,14.7152,14.665,14.7152,8.06167
0.05,-6.4957,-1.05944,-0.00651187,0.06892,9,-6.49658,-1,-0.0594311,0.0166365,0.00467971,0.00194173,0.00103649,0.0575292,0.0185905,-0.00177779,-0.00227729,0.814944,75.0002,13.2143,13.26,13.2143,13.26,7.58777
0.06,-6.49545,-1.05946,-0.00653282,0.0702463,10,-6.4962,-1,-0.0594484,0.0166383,0.00468045,0.00194212,0.00103674,0.057849,0.0270827,-0.0018582,-0.00214457,0.72998,69.8593,11.8364,11.8781,11.8363,11.878,7.06767
0.07,-6.49513,-1.05948,-0.006552,0.0717857,10,-6.4962,-1,-0.0594667,0.0166383,0.00468045,0.00194212,0.00103674,0.0580801,0.0342324,-0.00196658,-0.00193936,0.658464,68.0137,10.6767,10.7151,10.6765,10.715,6.88095
0.08,-6.49474,-1.05949,-0.00656954,0.0733974,11,-6.49582,-1,-0.0594859,0.01664,0.00468118,0.00194252,0.00103699,0.0582559,0.0409264,-0.00203057,-0.00178543,0.591513,66.7835,9.59119,9.62652,9.5909,9.62622,6.75648
0.09,-6.49429,-1.05951,-0.00658518,0.0751336,13,-6.49506,-1,-0.0595058,0.0166436,0.00468266,0.00194331,0.00103749,0.0583947,0.0466606,-0.0020975,-0.00158904,0.534158,65.1629,8.66152,8.69419,8.66101,8.69367,6.59253
0.1,-6.49379,-1.05954,-0.00659909,0.0770178,14,-6.49468,-1,-0.0595262,0.0166454,0.0046834,0.0019437,0.00103774,0.0585079,0.0519854,-0.00214135,-0.00141473,0.480895,63.3018,7.79851,7.82866,7.79763,7.82778,6.40424
0.11,-6.49324,-1.05956,-0.00661093,0.0790284,15,-6.4943,-1,-0.0595471,0.0166472,0.00468414,0.0019441,0.00103799,0.0586023,0.0563951,-0.00219439,-0.00118829,0.436785,61.6859,7.08411,7.11222,7.08279,7.11089,6.24076
0.12,-6.49264,-1.05958,-0.00662052,0.0811365,17,-6.49354,-1,-0.0595685,0.0166507,0.00468561,0.00194489,0.0010385,0.0586829,0.0605573,-0.00223928,-0.000961471,0.395153,60.4148,6.41012,6.43624,6.40825,6.43436,6.11217
0.13,-6.49201,-1.0596,-0.00662768,0.0833098,19,-6.49278,-1,-0.0595903,0.0166543,0.00468709,0.00194568,0.001039,0.0587527,0.0641231,-0.00228336,-0.000705955,0.359487,59.399,5.83299,5.8574,5.83054,5.85493,6.00939
0.14,-6.49135,-1.05962,-0.00663225,0.0855471,20,-6.4924,-1,-0.0596126,0.0166561,0.00468783,0.00194608,0.00103925,0.0588141,0.0674342,-0.00232283,-0.000447608,0.326368,58.2259,5.29742,5.32019,5.29421,5.31696,5.89071
0.15,-6.49065,-1.05964,-0.00663407,0.0878564,22,-6.49164,-0.999999,-0.0596354,0.0166596,0.00468931,0.00194687,0.00103975,0.0588688,0.0701466,-0.00236315,-0.000160268,0.299235,57.1087,4.85907,4.88051,4.85503,4.87646,5.77768
0.16,-6.48993,-1.05967,-0.00663306,0.0902162,24,-6.49089,-0.999999,-0.0596585,0.0166632,0.00469079,0.00194766,0.00104026,0.0589182,0.0727709,-0.0023971,0.000121734,0.272987,56.2196,4.43517,4.45528,4.43024,4.45032,5.68774
0.17,-6.48919,-1.05969,-0.0066291,0.0926077,26,-6.49013,-0.999999,-0.0596819,0.0166667,0.00469226,0.00194845,0.00104076,0.0589631,0.0749225,-0.00243227,0.0004241,0.251466,55.4273,4.08797,4.10699,4.08212,4.10112,5.60758
0.18,-6.48843,-1.05971,-0.00662216,0.0950351,28,-6.48937,-0.999999,-0.0597058,0.0166703,0.00469374,0.00194924,0.00104126,0.0590044,0.0769911,-0.00246208,0.00072261,0.230775,54.5713,3.75442,3.77235,3.74751,3.76542,5.52098
0.19,-6.48765,-1.05974,-0.00661213,0.0974885,30,-6.48861,-0.999999,-0.0597299,0.0166739,0.00469522,0.00195003,0.00104177,0.0590426,0.0786504,-0.00249399,0.00103766,0.214178,53.8637,3.4872,3.5043,3.4793,3.49636,5.44939
0.2,-6.48685,-1.05976,-0.006599,0.0999593,32,-6.48785,-0.999999,-0.0597543,0.0166774,0.0046967,0.00195083,0.00104227,0.0590782,0.0802711,-0.00252007,0.00134494,0.197968,53.2117,3.22634,3.24256,3.21736,3.23354,5.38343
0.21,-6.48604,-1.05979,-0.00658273,0.102442,34,-6.48709,-0.999999,-0.0597791,0.016681,0.00469818,0.00195162,0.00104278,0.0591115,0.0815964,-0.0025472,0.00166461,0.184713,52.611,3.01336,3.02889,3.00335,3.01883,5.32266
0.22,-6.48521,-1.05981,-0.0065633,0.104935,36,-6.48633,-0.999998,-0.0598041,0.0166846,0.00469966,0.00195241,0.00104328,0.059143,0.0828883,-0.00257081,0.00197831,0.171792,52.0139,2.8059,2.82071,2.79476,2.80952,5.26224
0.23,-6.48437,-1.05984,-0.00654067,0.107438,39,-6.48519,-0.999998,-0.0598293,0.0166899,0.00470189,0.0019536,0.00104404,0.0591728,0.0839101,-0.00259568,0.00230144,0.161573,51.4604,2.64218,2.65647,2.63,2.64422,5.20625
0.24,-6.48353,-1.05986,-0.00651487,0.10994,41,-6.48444,-0.999998,-0.0598549,0.0166935,0.00470337,0.0019544,0.00104454,0.0592013,0.0849375,-0.00261597,0.00261669,0.151297,50.9443,2.47758,2.49129,2.4643,2.47794,5.15404
0.25,-6.48267,-1.05989,-0.00648586,0.112439,43,-6.48368,-0.999998,-0.0598806,0.016697,0.00470485,0.00195519,0.00104505,0.0592284,0.0857479,-0.0026382,0.00293905,0.143193,50.4674,2.3481,2.3614,2.33383,2.34704,5.10579
0.26,-6.48181,-1.05991,-0.00645369,0.114935,45,-6.48292,-0.999998,-0.0599066,0.0167006,0.00470633,0.00195598,0.00104555,0.0592545,0.0865601,-0.00265635,0.00325376,0.135071,49.998,2.21836,2.2312,2.20302,2.21578,5.05829
0.27,-6.48094,-1.05994,-0.00641833,0.11743,48,-6.48178,-0.999997,-0.0599327,0.016706,0.00470856,0.00195718,0.00104631,0.0592796,0.0871994,-0.00267606,0.0035739,0.128678,49.5335,2.11661,2.12913,2.1003,2.11273,5.0113
0.28,-6.48006,-1.05997,-0.00637982,0.119911,50,-6.48102,-0.999997,-0.0599591,0.0167095,0.00471004,0.00195797,0.00104682,0.0593039,0.0878334,-0.00269267,0.00388606,0.122339,49.1429,2.01564,2.02782,1.9984,2.01047,4.97179
0.29,-6.47918,-1.05999,-0.00633817,0.122379,52,-6.48027,-0.999997,-0.0599856,0.0167131,0.00471153,0.00195877,0.00104733,0.0593274,0.0883339,-0.00270964,0.00420064,0.117335,48.7534,1.93626,1.94821,1.91817,1.93001,4.93238
