t,x,y,theta,phi,sr_j,Psx,Psy,d,Cs,Cs1,Cs2,Cs3,d_ave,x_d1,x_d2,x_d3,nu1,nu2,torque_fl,torque_fr,torque_rl,torque_rr,Q_phi
0.02,-6.49602,-1.05911,-0.00626802,0.0675536,8,-6.49696,-1,-0.059099,0.0166347,0.00467897,0.00194134,0.00103624,0.0545495,0.00067452,-0.00210159,-0.00147186,0.994126,80.9367,16.1257,16.1694,16.1257,16.1694,8.18837
0.03,-6.49602,-1.05911,-0.00621272,0.126293,8,-6.49696,-1,-0.059101,0.0166347,0.00467897,0.00194134,0.00103624,0.0560667,0.000741605,-0.00196537,-0.00131399,0.993464,70.4785,16.0959,16.1779,16.0959,16.1779,7.13031
0.04,-6.49595,-1.05913,-0.00628876,0.0677454,8,-6.49696,-1,-0.059119,0.0166347,0.00467897,0.00194134,0.00103624,0.0568298,0.0100598,-0.00162378,-0.00200036,0.900266,75.6736,14.6032,14.6429,14.6032,14.6428,7.6559
0.05,-6.49578,-1.05914,-0.0063109,0.0683946,9,-6.49658,-1,-0.0591358,0.0166365,0.00467971,0.00194173,0.00103649,0.057291,0.0189932,-0.00160666,-0.00218278,0.810949,77.5526,13.1542,13.1903,13.1542,13.1903,7.84599
0.06,-6.49552,-1.05916,-0.00633216,0.0693981,9,-6.49658,-1,-0.0591531,0.0166365,0.00467971,0.00194173,0.00103649,0.0576013,0.0275322,-0.00167168,-0.00207556,0.725521,72.5851,11.7684,11.8011,11.7683,11.8011,7.34343
0.07,-6.49519,-1.05918,-0.00635121,0.0708905,10,-6.4962,-1,-0.0591714,0.0166383,0.00468045,0.00194212,0.00103674,0.0578256,0.0346834,-0.00178333,-0.00182015,0.653965,67.2711,10.6077,10.6379,10.6075,10.6377,6.80582
0.08,-6.4948,-1.0592,-0.0063683,0.0726398,11,-6.49582,-1,-0.0591905,0.01664,0.00468118,0.00194252,0.00103699,0.0579962,0.0413908,-0.00186005,-0.00161763,0.586872,65.1445,9.51962,9.54737,9.51926,9.547,6.59067
0.09,-6.49434,-1.05922,-0.00638367,0.0743996,12,-6.49544,-1,-0.0592103,0.0166418,0.00468192,0.00194291,0.00103724,0.0581311,0.0469991,-0.00192441,-0.00143681,0.530787,65.0003,8.61017,8.63588,8.60966,8.63537,6.57608
0.1,-6.49383,-1.05924,-0.00639735,0.0762033,14,-6.49468,-1,-0.0592307,0.0166454,0.0046834,0.0019437,0.00103774,0.0582411,0.0522894,-0.00196656,-0.00126897,0.477877,63.9987,7.75247,7.77618,7.75169,7.7754,6.47475
0.11,-6.49327,-1.05926,-0.00640888,0.0781337,15,-6.4943,-1,-0.0592515,0.0166472,0.00468414,0.0019441,0.00103799,0.0583329,0.0567923,-0.00201791,-0.00103814,0.432832,62.026,7.02269,7.04472,7.02145,7.04347,6.27517
0.12,-6.49267,-1.05928,-0.0064181,0.0802092,17,-6.49354,-1,-0.0592728,0.0166507,0.00468561,0.00194489,0.0010385,0.0584113,0.0610316,-0.00206327,-0.000797572,0.390425,60.2044,6.33598,6.35638,6.33411,6.35451,6.09087
0.13,-6.49204,-1.0593,-0.0064247,0.0823858,18,-6.49316,-1,-0.0592946,0.0166525,0.00468635,0.00194528,0.00103875,0.0584792,0.0645269,-0.00211378,-0.000522074,0.355462,58.9161,5.77012,5.78921,5.76761,5.7867,5.96055
0.14,-6.49137,-1.05933,-0.00642861,0.0846202,20,-6.4924,-1,-0.0593169,0.0166561,0.00468783,0.00194608,0.00103925,0.0585391,0.0678796,-0.00215591,-0.000251628,0.321929,57.9909,5.22758,5.24535,5.22436,5.24212,5.86694
0.15,-6.49067,-1.05935,-0.00642978,0.0869038,22,-6.49164,-0.999999,-0.0593396,0.0166596,0.00468931,0.00194687,0.00103975,0.0585924,0.0705673,-0.00219314,3.02799e-05,0.295045,57.0489,4.79302,4.80975,4.78904,4.80576,5.77164
0.16,-6.48994,-1.05937,-0.00642816,0.0892399,24,-6.49089,-0.999999,-0.0593626,0.0166632,0.00469079,0.00194766,0.00104026,0.0586406,0.0732126,-0.00222522,0.000312692,0.268586,56.013,4.36559,4.38124,4.36066,4.3763,5.66683
0.17,-6.48919,-1.05939,-0.00642354,0.0916178,26,-6.49013,-0.999999,-0.059386,0.0166667,0.00469226,0.00194845,0.00104076,0.0586844,0.0753234,-0.00226092,0.000620652,0.247472,55.1569,4.02489,4.03971,4.01904,4.03384,5.58023
0.18,-6.48843,-1.05942,-0.00641592,0.0940301,28,-6.48937,-0.999999,-0.0594097,0.0166703,0.00469374,0.00194924,0.00104126,0.0587247,0.0773525,-0.00229169,0.00092143,0.227177,54.3412,3.69759,3.71156,3.69071,3.70466,5.4977
0.19,-6.48764,-1.05944,-0.00640514,0.0964685,30,-6.48861,-0.999999,-0.0594338,0.0166739,0.00469522,0.00195003,0.00104177,0.058762,0.0790034,-0.00232533,0.00124474,0.210664,53.623,3.43163,3.44494,3.42375,3.43702,5.42504
0.2,-6.48684,-1.05947,-0.0063913,0.0989253,32,-6.48785,-0.999999,-0.0594581,0.0166774,0.0046967,0.00195083,0.00104227,0.0587968,0.0806309,-0.00234939,0.00154903,0.194386,52.9446,3.16958,3.18219,3.1606,3.17317,5.3564
0.21,-6.48602,-1.05949,-0.0063743,0.1014,34,-6.48709,-0.999999,-0.0594828,0.016681,0.00469818,0.00195162,0.00104278,0.0588295,0.0819197,-0.00237641,0.00187054,0.181496,52.3026,2.96245,2.97454,2.95242,2.96447,5.29145
0.22,-6.48519,-1.05952,-0.00635415,0.103882,36,-6.48633,-0.999998,-0.0595076,0.0166846,0.00469966,0.00195241,0.00104328,0.0588603,0.0832021,-0.00240023,0.00218491,0.16867,51.7116,2.75643,2.76795,2.74527,2.75675,5.23167
0.23,-6.48435,-1.05954,-0.0063308,0.106373,39,-6.48519,-0.999998,-0.0595328,0.0166899,0.00470189,0.0019536,0.00104404,0.0588896,0.0842142,-0.00242416,0.00250779,0.158548,51.1921,2.59418,2.60528,2.582,2.59305,5.1791
0.24,-6.48351,-1.05957,-0.00630429,0.108861,41,-6.48444,-0.999998,-0.0595582,0.0166935,0.00470337,0.0019544,0.00104454,0.0589174,0.0852102,-0.00244545,0.00282325,0.148586,50.661,2.43459,2.44526,2.42131,2.43192,5.12538
