t,x,y,theta,phiR,phiF,thetap,sr_j,Psx,Psy,d,Cs,Cs1,Cs2,Cs3,d_ave,x_d1,x_d2,x_d3,nu1,nu2,nu3torque_fl,torque_fr,torque_rl,torque_rr,lamda1,lambda2,lambda3,lambda4,Q_phiR, Q_varphiR, Q_phiF, Q_varphiF
0.02,-6.44828,-0.990878,4.84686e-06,-0.0184888,-0.0154233,-0.000739138,176,-6.44998,-0.999981,0.00910652,0.0149779,0.00412457,0.0017577,0,0.00954398,0.000103458,-0.00158172,1.86901e-06,2.39843,-26.6135,-22.2241,15.8253,15.8253,15.8253,15.8253,0.134136,0.0106891,-195.938,-195.938,-2.69249,31.6506,-2.24841,31.6506
0.03,-6.44828,-0.990909,-7.7214e-07,-0.0348108,-0.0290612,-0.000739126,176,-6.44998,-0.999981,0.00910519,0.0149779,0.00412457,0.0017577,0,0.00939772,9.20145e-05,-0.00132595,1.11289e-05,2.39872,-23.5032,-19.6376,15.8272,15.8272,15.8272,15.8272,-0.426637,-0.0258769,-195.961,-195.961,-2.37782,31.6544,-1.98674,31.6544
0.04,-6.44817,-0.990894,1.29318e-06,-0.0191161,-0.0159938,-0.000741656,176,-6.44998,-0.999981,0.00909132,0.0149779,0.00412457,0.0017577,0,0.00932112,0.0152421,-0.00118367,-0.000504884,2.2168,-22.281,-18.2033,14.6269,14.6268,14.6269,14.6268,0.383911,0.136102,-181.1,-181.1,-2.25416,29.2538,-1.84163,29.2538
0.05,-6.4479,-0.990917,-7.27351e-06,-0.0228326,-0.0194006,-0.000753317,177,-6.4497,-0.999981,0.00907756,0.0149791,0.00412506,0.00175799,0,0.00927241,0.0298333,-0.00129459,-0.000748855,2.0421,-13.5722,-10.0955,13.4744,13.4739,13.4744,13.4739,1.81018,0.51431,-166.827,-166.827,-1.37309,26.9483,-1.02137,26.9483
0.06,-6.4475,-0.990943,-1.84108e-05,-0.0279792,-0.0240874,-0.000771707,179,-6.44913,-0.999981,0.0090619,0.0149814,0.00412606,0.00175855,0,0.00923732,0.0436429,-0.00151436,-0.000917194,1.87719,-9.42776,-6.23546,12.3864,12.3853,12.3864,12.3853,3.42282,0.709819,-153.353,-153.352,-0.953807,24.7717,-0.630841,24.7716
0.07,-6.44698,-0.990972,-2.90548e-05,-0.0331468,-0.0287695,-0.000785833,180,-6.44885,-0.999981,0.0090423,0.0149826,0.00412656,0.00175884,0,0.00920946,0.0548816,-0.00199748,-0.000789056,1.74301,-8.76671,-5.65303,11.5011,11.4994,11.5011,11.4995,4.4929,0.478326,-142.388,-142.388,-0.886928,23.0006,-0.571917,23.0005
0.08,-6.44635,-0.991006,-3.80594e-05,-0.0378126,-0.0329373,-0.000806865,183,-6.448,-0.99998,0.00901742,0.0149861,0.00412805,0.00175969,0,0.00918546,0.0656183,-0.00253492,-0.000637869,1.61462,-9.11712,-5.99535,10.6539,10.6518,10.654,10.6518,5.14311,0.163913,-131.896,-131.896,-0.922379,21.3058,-0.60655,21.3057
0.09,-6.44563,-0.991045,-4.4809e-05,-0.0419474,-0.0365927,-0.000821542,185,-6.44743,-0.999979,0.00898659,0.0149884,0.00412905,0.00176026,0,0.00916336,0.0741131,-0.00315279,-0.000408689,1.51295,-9.53974,-6.43141,9.98304,9.98044,9.98303,9.98044,5.50066,-0.207588,-123.586,-123.586,-0.965135,19.9635,-0.650666,19.9635
0.1,-6.44482,-0.991089,-4.9958e-05,-0.0456157,-0.0397794,-0.000838704,188,-6.44658,-0.999979,0.00894984,0.0149919,0.00413055,0.00176112,0,0.00914201,0.0823298,-0.00371888,-0.000277442,1.41453,-9.81224,-6.72327,9.33359,9.33063,9.33352,9.33057,5.69947,-0.485125,-115.542,-115.543,-0.992705,18.6641,-0.680193,18.6642
0.11,-6.44395,-0.991138,-5.33294e-05,-0.0489106,-0.0425973,-0.000854185,191,-6.44573,-0.999978,0.00890716,0.0149954,0.00413205,0.00176197,0,0.00912066,0.0887063,-0.00431452,-9.07947e-05,1.33813,-9.89212,-6.83734,8.82938,8.82607,8.82923,8.82594,5.80659,-0.757366,-109.296,-109.298,-1.00079,17.6552,-0.691734,17.6554
0.12,-6.44301,-0.991192,-5.53061e-05,-0.0518704,-0.0450848,-0.000868158,194,-6.44488,-0.999977,0.00885886,0.0149989,0.00413354,0.00176282,0,0.00909884,0.0948049,-0.00484655,2.46792e-05,1.26501,-9.93702,-6.91788,8.34687,8.34327,8.34664,8.34305,5.82064,-0.981065,-103.319,-103.322,-1.00533,16.6897,-0.699882,16.6901
0.13,-6.44203,-0.991251,-5.57097e-05,-0.0545187,-0.0472578,-0.000884902,198,-6.44375,-0.999977,0.00880516,0.0150036,0.00413554,0.00176396,0,0.00907625,0.0993837,-0.00538037,0.000194145,1.21008,-9.92116,-6.93628,7.98432,7.98042,7.98398,7.9801,5.79058,-1.22416,-98.8265,-98.8309,-1.00372,15.9641,-0.701744,15.9647
